open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2017-02-12 23:59:00,2017-02-13 00:00:00,1.06632,1.06647,1.0665,1.06625,1.06682,1.06695,1.0671,1.06679,133
2017-02-13 00:00:00,2017-02-13 00:01:00,1.06647,1.06648,1.06656,1.06637,1.06695,1.06698,1.06706,1.06687,67
2017-02-13 00:01:00,2017-02-13 00:02:00,1.06648,1.0666,1.0666,1.06638,1.06698,1.06702,1.06702,1.06688,36
2017-02-13 00:02:00,2017-02-13 00:03:00,1.0666,1.06653,1.06659,1.06653,1.06702,1.06695,1.06702,1.06695,12
2017-02-13 00:03:00,2017-02-13 00:04:00,1.06653,1.06659,1.06662,1.06655,1.06695,1.06701,1.06704,1.06697,18
2017-02-13 00:04:00,2017-02-13 00:05:00,1.06659,1.06658,1.06658,1.06652,1.06701,1.067,1.06712,1.06695,14
2017-02-13 00:05:00,2017-02-13 00:06:00,1.06658,1.06652,1.06659,1.06645,1.067,1.06694,1.06701,1.06688,28
2017-02-13 00:06:00,2017-02-13 00:07:00,1.06652,1.06649,1.06657,1.06619,1.06694,1.06691,1.06701,1.06679,75
2017-02-13 00:07:00,2017-02-13 00:08:00,1.06649,1.06665,1.06665,1.06648,1.06691,1.06707,1.06708,1.0669,66
2017-02-13 00:08:00,2017-02-13 00:09:00,1.06665,1.06669,1.06669,1.06661,1.06707,1.06711,1.06711,1.06704,13
2017-02-13 00:09:00,2017-02-13 00:10:00,1.06669,1.06667,1.06671,1.06661,1.06711,1.06709,1.06725,1.06703,35
2017-02-13 00:10:00,2017-02-13 00:11:00,1.06667,1.06679,1.06682,1.06658,1.06709,1.06719,1.06731,1.06712,80
2017-02-13 00:11:00,2017-02-13 00:12:00,1.06679,1.06685,1.0669,1.06674,1.06719,1.06728,1.06737,1.06716,150
2017-02-13 00:12:00,2017-02-13 00:13:00,1.06685,1.06709,1.06713,1.06681,1.06728,1.06752,1.06764,1.06723,40
2017-02-13 00:13:00,2017-02-13 00:14:00,1.06709,1.06719,1.06728,1.06709,1.06752,1.06761,1.0677,1.06751,26
2017-02-13 00:14:00,2017-02-13 00:15:00,1.06719,1.06724,1.06724,1.06703,1.06761,1.06766,1.06775,1.06756,49
2017-02-13 00:15:00,2017-02-13 00:16:00,1.06724,1.06716,1.06734,1.06713,1.06766,1.06759,1.06766,1.06756,29
2017-02-13 00:16:00,2017-02-13 00:17:00,1.06716,1.0672,1.06722,1.06706,1.06759,1.06762,1.06765,1.06748,17
2017-02-13 00:17:00,2017-02-13 00:18:00,1.0672,1.06699,1.06725,1.06696,1.06762,1.06741,1.06768,1.06738,38
2017-02-13 00:18:00,2017-02-13 00:19:00,1.06699,1.06686,1.06704,1.06686,1.06741,1.06728,1.06747,1.06728,33
2017-02-13 00:19:00,2017-02-13 00:20:00,1.06686,1.06649,1.06688,1.06648,1.06728,1.06692,1.06731,1.06692,50
2017-02-13 00:20:00,2017-02-13 00:21:00,1.06649,1.06631,1.06646,1.06629,1.06692,1.06674,1.06689,1.06671,22
2017-02-13 00:21:00,2017-02-13 00:22:00,1.06631,1.06615,1.0663,1.06609,1.06674,1.06658,1.06672,1.06651,19
2017-02-13 00:22:00,2017-02-13 00:23:00,1.06615,1.06605,1.06613,1.06605,1.06658,1.06647,1.06655,1.06647,10
2017-02-13 00:23:00,2017-02-13 00:24:00,1.06605,1.06603,1.06606,1.06597,1.06647,1.06646,1.06648,1.0664,11
2017-02-13 00:24:00,2017-02-13 00:25:00,1.06603,1.06624,1.06627,1.06598,1.06646,1.06666,1.06669,1.06641,27
2017-02-13 00:25:00,2017-02-13 00:26:00,1.06624,1.06614,1.06627,1.06601,1.06666,1.06657,1.06669,1.06644,24
2017-02-13 00:26:00,2017-02-13 00:27:00,1.06614,1.06626,1.06626,1.06612,1.06657,1.06668,1.06668,1.06655,15
2017-02-13 00:27:00,2017-02-13 00:28:00,1.06626,1.06628,1.06628,1.06621,1.06668,1.0667,1.06671,1.06663,10
2017-02-13 00:28:00,2017-02-13 00:29:00,1.06628,1.06622,1.06627,1.06617,1.0667,1.06665,1.0667,1.06659,25
2017-02-13 00:29:00,2017-02-13 00:30:00,1.06622,1.06617,1.0664,1.06613,1.06665,1.0666,1.06682,1.06655,38
2017-02-13 00:30:00,2017-02-13 00:31:00,1.06617,1.06604,1.06622,1.06601,1.0666,1.06647,1.06665,1.06643,32
2017-02-13 00:31:00,2017-02-13 00:32:00,1.06604,1.06604,1.06604,1.06599,1.06647,1.06646,1.06646,1.06641,9
2017-02-13 00:32:00,2017-02-13 00:33:00,1.06604,1.06598,1.06606,1.06598,1.06646,1.06641,1.06649,1.06641,4
