open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2011-10-12 23:00:00,2011-10-13 03:00:00,4220,4230,4248,4202,4222,4232,4250,4204,2423
2011-10-13 03:00:00,2011-10-13 07:00:00,4221,4244,4250,4217,4223,4246,4252,4219,1592
2011-10-13 07:00:00,2011-10-13 11:00:00,4211,4218,4244,4203,4214,4220,4246,4206,1419
2011-10-13 11:00:00,2011-10-13 15:00:00,4193,4211,4220,4191,4195,4214,4222,4193,2563
2011-10-13 15:00:00,2011-10-13 19:00:00,4211,4233,4241,4202,4214,4237,4243,4205,1974
2011-10-13 19:00:00,2011-10-14 01:00:00,4196,4220,4229,4194,4198,4222,4233,4196,1731
2011-10-14 01:00:00,2011-10-14 05:00:00,4201,4215,4222,4199,4203,4217,4224,4201,1166
2011-10-14 05:00:00,2011-10-14 09:00:00,4215,4240,4246,4206,4217,4242,4248,4208,1212
2011-10-14 09:00:00,2011-10-14 13:00:00,4234,4254,4263,4227,4236,4257,4265,4229,1276
2011-10-14 13:00:00,2011-10-14 17:00:00,4241,4250,4256,4237,4243,4252,4258,4239,1973
2011-10-14 17:00:00,2011-10-14 19:00:00,4250,4261,4264,4243,4252,4263,4266,4246,674
2011-10-14 19:00:00,2011-10-17 02:00:00,4261,4280,4288,4256,4263,4282,4290,4258,1262
2011-10-17 02:00:00,2011-10-17 06:00:00,4277,4280,4286,4272,4279,4282,4288,4274,1058
2011-10-17 06:00:00,2011-10-17 10:00:00,4269,4288,4293,4259,4271,4291,4295,4261,928
2011-10-17 10:00:00,2011-10-17 14:00:00,4231,4255,4261,4209,4234,4257,4263,4211,1580
2011-10-17 14:00:00,2011-10-17 18:00:00,4205,4213,4226,4197,4207,4216,4228,4199,1490
2011-10-17 18:00:00,2011-10-18 00:00:00,4204,4212,4221,4196,4206,4214,4223,4198,1392
2011-10-18 00:00:00,2011-10-18 04:00:00,4194,4202,4207,4183,4196,4204,4209,4185,1488
2011-10-18 04:00:00,2011-10-18 08:00:00,4164,4183,4188,4152,4166,4185,4190,4154,1550
2011-10-18 08:00:00,2011-10-18 12:00:00,4159,4176,4181,4155,4161,4179,4183,4157,1506
2011-10-18 12:00:00,2011-10-18 16:00:00,4159,4209,4212,4152,4162,4211,4214,4155,2117
2011-10-18 16:00:00,2011-10-18 20:00:00,4208,4237,4254,4199,4211,4241,4256,4201,1805
2011-10-18 20:00:00,2011-10-19 01:00:00,4215,4223,4237,4203,4217,4225,4238,4204,1396
2011-10-19 01:00:00,2011-10-19 05:00:00,4204,4216,4222,4198,4206,4217,4223,4199,1205
2011-10-19 05:00:00,2011-10-19 09:00:00,4202,4226,4228,4195,4203,4229,4230,4196,1378
2011-10-19 09:00:00,2011-10-19 13:00:00,4212,4232,4234,4202,4214,4233,4235,4203,1422
2011-10-19 13:00:00,2011-10-19 17:00:00,4207,4219,4228,4197,4209,4222,4229,4200,2451
2011-10-19 17:00:00,2011-10-19 23:00:00,4176,4183,4206,4153,4179,4185,4208,4154,1990
2011-10-19 23:00:00,2011-10-20 03:00:00,4141,4150,4166,4130,4142,4152,4167,4132,1895
2011-10-20 03:00:00,2011-10-20 07:00:00,4134,4143,4152,4124,4136,4145,4153,4126,1322
2011-10-20 07:00:00,2011-10-20 11:00:00,4135,4166,4170,4132,4137,4168,4172,4134,1773
2011-10-20 11:00:00,2011-10-20 15:00:00,4137,4165,4170,4123,4139,4167,4172,4125,4026
2011-10-20 15:00:00,2011-10-20 19:00:00,4126,4159,4162,4114,4129,4161,4164,4116,2897
2011-10-20 19:00:00,2011-10-21 01:00:00,4142,4156,4166,4140,4143,4157,4167,4141,1213
2011-10-21 01:00:00,2011-10-21 05:00:00,4130,4161,4165,4125,4131,4162,4166,4126,1324
2011-10-21 05:00:00,2011-10-21 09:00:00,4146,4153,4158,4141,4148,4155,4160,4144,1307
2011-10-21 09:00:00,2011-10-21 13:00:00,4142,4189,4194,4141,4146,4192,4196,4143,1488
2011-10-21 13:00:00,2011-10-21 17:00:00,4181,4193,4202,4167,4184,4195,4204,4169,1943
2011-10-21 17:00:00,2011-10-21 19:00:00,4174,4199,4200,4172,4176,4203,4204,4174,1027
