open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2013-07-03 23:59:00,2013-07-04 00:00:00,4794,4789,4793,4788,4795,4790,4794,4789,18
2013-07-04 00:00:00,2013-07-04 00:01:00,4789,4789,4794,4789,4790,4790,4795,4790,16
2013-07-04 00:01:00,2013-07-04 00:02:00,4789,4795,4795,4789,4790,4796,4796,4791,10
2013-07-04 00:02:00,2013-07-04 00:03:00,4795,4793,4795,4791,4796,4794,4796,4792,16
2013-07-04 00:03:00,2013-07-04 00:04:00,4793,4791,4792,4788,4794,4792,4794,4790,8
2013-07-04 00:04:00,2013-07-04 00:05:00,4791,4792,4793,4789,4792,4794,4794,4790,11
2013-07-04 00:05:00,2013-07-04 00:06:00,4792,4793,4794,4791,4794,4794,4795,4792,15
2013-07-04 00:06:00,2013-07-04 00:07:00,4793,4792,4794,4791,4794,4795,4795,4792,15
2013-07-04 00:07:00,2013-07-04 00:08:00,4792,4793,4795,4792,4795,4795,4796,4794,23
2013-07-04 00:08:00,2013-07-04 00:09:00,4793,4800,4800,4794,4795,4801,4801,4795,19
2013-07-04 00:09:00,2013-07-04 00:10:00,4800,4799,4801,4798,4801,4800,4802,4800,13
2013-07-04 00:10:00,2013-07-04 00:11:00,4799,4800,4800,4798,4800,4801,4801,4799,11
2013-07-04 00:11:00,2013-07-04 00:12:00,4800,4796,4801,4795,4801,4798,4802,4797,20
2013-07-04 00:12:00,2013-07-04 00:13:00,4796,4792,4797,4792,4798,4794,4798,4794,8
2013-07-04 00:13:00,2013-07-04 00:14:00,4792,4792,4794,4792,4794,4793,4795,4793,8
2013-07-04 00:14:00,2013-07-04 00:15:00,4792,4792,4794,4792,4793,4794,4795,4794,6
2013-07-04 00:15:00,2013-07-04 00:16:00,4792,4791,4793,4790,4794,4792,4794,4791,9
2013-07-04 00:16:00,2013-07-04 00:17:00,4791,4788,4790,4788,4792,4789,4791,4789,5
2013-07-04 00:17:00,2013-07-04 00:18:00,4788,4792,4792,4789,4789,4793,4793,4790,4
2013-07-04 00:18:00,2013-07-04 00:19:00,4792,4795,4795,4793,4793,4796,4796,4794,5
2013-07-04 00:19:00,2013-07-04 00:20:00,4795,4799,4799,4796,4796,4800,4800,4797,6
2013-07-04 00:20:00,2013-07-04 00:21:00,4799,4799,4801,4799,4800,4800,4802,4800,8
2013-07-04 00:21:00,2013-07-04 00:22:00,4799,4799,4800,4799,4800,4800,4801,4800,4
2013-07-04 00:22:00,2013-07-04 00:23:00,4799,4797,4798,4796,4800,4798,4800,4797,4
2013-07-04 00:23:00,2013-07-04 00:24:00,4797,4797,4798,4797,4798,4799,4799,4798,6
2013-07-04 00:24:00,2013-07-04 00:26:00,4797,4796,4797,4796,4799,4798,4798,4797,5
2013-07-04 00:26:00,2013-07-04 00:27:00,4796,4794,4797,4794,4798,4795,4798,4795,4
2013-07-04 00:27:00,2013-07-04 00:28:00,4794,4794,4795,4794,4795,4795,4796,4795,2
2013-07-04 00:28:00,2013-07-04 00:29:00,4794,4792,4794,4792,4795,4794,4795,4794,6
2013-07-04 00:29:00,2013-07-04 00:30:00,4792,4793,4793,4792,4794,4794,4794,4793,3
2013-07-04 00:30:00,2013-07-04 00:31:00,4793,4790,4792,4790,4794,4792,4793,4792,3
2013-07-04 00:31:00,2013-07-04 00:32:00,4790,4790,4791,4789,4792,4792,4792,4791,6
2013-07-04 00:32:00,2013-07-04 00:33:00,4790,4790,4791,4790,4792,4792,4792,4792,2
2013-07-04 00:33:00,2013-07-04 00:34:00,4790,4790,4792,4790,4792,4792,4793,4791,10
2013-07-04 00:34:00,2013-07-04 00:35:00,4790,4792,4794,4791,4792,4793,4795,4792,8
2013-07-04 00:35:00,2013-07-04 00:36:00,4792,4792,4793,4791,4793,4793,4794,4793,6
2013-07-04 00:36:00,2013-07-04 00:37:00,4792,4794,4794,4792,4793,4795,4795,4793,4
2013-07-04 00:37:00,2013-07-04 00:38:00,4794,4794,4795,4794,4795,4796,4796,4796,4
2013-07-04 00:38:00,2013-07-04 00:39:00,4794,4792,4795,4792,4796,4794,4796,4793,10
2013-07-04 00:39:00,2013-07-04 00:40:00,4792,4791,4793,4791,4794,4792,4794,4792,3
2013-07-04 00:40:00,2013-07-04 00:41:00,4791,4791,4792,4791,4792,4793,4793,4793,4
2013-07-04 00:41:00,2013-07-04 00:42:00,4791,4795,4795,4792,4793,4796,4796,4793,10
2013-07-04 00:42:00,2013-07-04 00:43:00,4795,4799,4799,4795,4796,4800,4800,4797,11
2013-07-04 00:43:00,2013-07-04 00:44:00,4799,4800,4800,4798,4800,4801,4801,4799,5
2013-07-04 00:44:00,2013-07-04 00:45:00,4800,4797,4800,4796,4801,4798,4801,4798,9
2013-07-04 00:45:00,2013-07-04 00:46:00,4797,4792,4796,4792,4798,4794,4798,4794,7
2013-07-04 00:46:00,2013-07-04 00:47:00,4792,4794,4794,4792,4794,4796,4796,4794,6
2013-07-04 00:47:00,2013-07-04 00:48:00,4794,4799,4799,4795,4796,4800,4800,4796,6
2013-07-04 00:48:00,2013-07-04 00:49:00,4799,4796,4799,4795,4800,4797,4800,4797,9
2013-07-04 00:49:00,2013-07-04 00:51:00,4796,4796,4797,4795,4797,4797,4798,4796,4
2013-07-04 00:51:00,2013-07-04 00:52:00,4796,4793,4795,4793,4797,4794,4796,4794,5
2013-07-04 00:52:00,2013-07-04 00:53:00,4793,4794,4794,4793,4794,4795,4795,4795,5
2013-07-04 00:53:00,2013-07-04 00:54:00,4794,4793,4794,4793,4795,4795,4795,4795,3
2013-07-04 00:54:00,2013-07-04 00:55:00,4793,4792,4792,4792,4795,4793,4793,4793,1
2013-07-04 00:55:00,2013-07-04 00:56:00,4792,4790,4791,4790,4793,4791,4792,4791,2
2013-07-04 00:56:00,2013-07-04 00:57:00,4790,4787,4790,4787,4791,4788,4791,4788,7
