open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2013-09-02 05:00:00,2013-09-02 09:00:00,139.87,140.18,140.31,139.77,139.9,140.21,140.34,139.81,1582
2013-09-02 09:00:00,2013-09-02 13:00:00,139.91,140.09,140.12,139.91,139.94,140.12,140.15,139.94,867
2013-09-02 13:00:00,2013-09-02 17:00:00,140.05,140.08,140.11,140.02,140.08,140.11,140.14,140.05,379
2013-09-02 17:00:00,2013-09-02 19:00:00,140.0,140.05,140.07,139.98,140.03,140.08,140.1,140.01,68
2013-09-02 19:00:00,2013-09-03 10:00:00,139.94,140.13,140.25,139.82,139.98,140.17,140.28,139.85,1743
2013-09-03 10:00:00,2013-09-03 14:00:00,140.06,140.16,140.22,139.54,140.1,140.19,140.25,139.58,3110
2013-09-03 14:00:00,2013-09-03 18:00:00,139.56,139.85,139.87,139.54,139.6,139.88,139.9,139.58,1462
2013-09-03 18:00:00,2013-09-03 19:00:00,139.84,139.85,139.86,139.8,139.88,139.89,139.89,139.84,160
2013-09-03 19:00:00,2013-09-04 10:00:00,139.62,139.75,139.85,139.52,139.65,139.79,139.88,139.56,2605
2013-09-04 10:00:00,2013-09-04 14:00:00,139.65,139.83,139.94,139.64,139.69,139.86,139.97,139.67,2234
2013-09-04 14:00:00,2013-09-04 18:00:00,139.54,139.71,139.77,139.5,139.58,139.75,139.8,139.53,1278
2013-09-04 18:00:00,2013-09-04 19:00:00,139.52,139.56,139.57,139.5,139.55,139.6,139.6,139.54,211
2013-09-04 19:00:00,2013-09-05 10:00:00,139.05,139.35,139.44,138.94,139.08,139.39,139.47,138.98,2043
2013-09-05 10:00:00,2013-09-05 14:00:00,138.63,139.06,139.24,138.46,138.67,139.1,139.27,138.5,6228
2013-09-05 14:00:00,2013-09-05 18:00:00,138.48,138.58,138.63,138.46,138.52,138.62,138.66,138.5,1291
2013-09-05 18:00:00,2013-09-05 19:00:00,138.5,138.5,138.51,138.5,138.54,138.54,138.54,138.54,164
2013-09-05 19:00:00,2013-09-06 10:00:00,136.62,137.02,137.07,136.6,136.66,137.06,137.1,136.64,2272
2013-09-06 10:00:00,2013-09-06 14:00:00,136.93,137.7,137.79,136.63,136.97,137.74,137.82,136.67,5724
2013-09-06 14:00:00,2013-09-06 18:00:00,137.56,137.63,137.71,137.31,137.59,137.66,137.74,137.34,781
2013-09-06 18:00:00,2013-09-06 19:00:00,137.37,137.51,137.55,137.37,137.41,137.55,137.58,137.4,166
2013-09-06 19:00:00,2013-09-09 10:00:00,137.45,137.55,137.63,137.35,137.48,137.58,137.66,137.39,1203
2013-09-09 10:00:00,2013-09-09 14:00:00,137.43,137.64,137.73,137.39,137.46,137.67,137.76,137.42,1204
2013-09-09 14:00:00,2013-09-09 18:00:00,137.45,137.53,137.66,137.42,137.48,137.56,137.69,137.45,502
2013-09-09 18:00:00,2013-09-09 19:00:00,137.53,137.43,137.53,137.43,137.56,137.46,137.56,137.46,68
2013-09-09 19:00:00,2013-09-10 10:00:00,136.95,137.13,137.26,136.83,136.98,137.17,137.29,136.86,1784
2013-09-10 10:00:00,2013-09-10 14:00:00,136.67,136.85,136.94,136.6,136.7,136.88,136.97,136.63,1733
2013-09-10 14:00:00,2013-09-10 18:00:00,136.6,136.81,136.86,136.59,136.63,136.84,136.89,136.62,697
2013-09-10 18:00:00,2013-09-10 19:00:00,136.69,136.62,136.71,136.6,136.72,136.65,136.74,136.64,55
