open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2015-01-25 21:59:00,2015-01-25 22:00:00,158.84,158.84,158.84,158.84,158.89,158.89,158.89,158.89,1
2015-01-25 22:00:00,2015-01-26 07:01:00,158.84,158.86,158.86,158.8,158.89,158.89,158.89,158.83,53
2015-01-26 07:01:00,2015-01-26 07:02:00,158.86,158.89,158.9,158.85,158.89,158.92,158.93,158.88,34
2015-01-26 07:02:00,2015-01-26 07:03:00,158.89,158.92,158.94,158.86,158.92,158.95,158.97,158.89,19
2015-01-26 07:03:00,2015-01-26 07:04:00,158.92,158.99,158.99,158.92,158.95,159.02,159.02,158.95,26
2015-01-26 07:04:00,2015-01-26 07:05:00,158.99,159.02,159.03,158.99,159.02,159.05,159.06,159.02,23
2015-01-26 07:05:00,2015-01-26 07:06:00,159.02,158.99,159.02,158.97,159.05,159.02,159.05,159.0,15
2015-01-26 07:06:00,2015-01-26 07:08:00,158.99,158.95,158.98,158.95,159.02,158.98,159.01,158.98,10
2015-01-26 07:08:00,2015-01-26 07:10:00,158.97,158.93,158.96,158.93,159.0,158.96,158.99,158.96,8
2015-01-26 07:10:00,2015-01-26 07:11:00,158.93,158.94,158.96,158.92,158.96,158.97,158.99,158.95,13
2015-01-26 07:11:00,2015-01-26 07:12:00,158.94,158.91,158.93,158.91,158.97,158.94,158.96,158.94,3
2015-01-26 07:12:00,2015-01-26 07:13:00,158.91,158.91,158.94,158.91,158.94,158.94,158.97,158.94,25
2015-01-26 07:13:00,2015-01-26 07:14:00,158.91,158.9,158.91,158.89,158.94,158.93,158.94,158.92,7
2015-01-26 07:14:00,2015-01-26 07:15:00,158.9,158.93,158.95,158.9,158.93,158.96,158.98,158.93,17
2015-01-26 07:15:00,2015-01-26 07:16:00,158.93,158.9,158.93,158.89,158.96,158.94,158.96,158.92,28
2015-01-26 07:16:00,2015-01-26 07:17:00,158.9,158.93,158.93,158.88,158.94,158.96,158.96,158.91,27
