open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2010-04-20 23:00:00,2010-04-21 03:00:00,93.254,93.446,93.577,93.139,93.318,93.503,93.632,93.195,4363
2010-04-21 03:00:00,2010-04-21 07:00:00,93.445,93.951,93.967,93.41,93.503,94.0,94.021,93.455,7616
2010-04-21 07:00:00,2010-04-21 11:00:00,93.416,93.808,93.906,93.24,93.469,93.865,93.952,93.29,9960
2010-04-21 11:00:00,2010-04-21 15:00:00,93.4,93.76,93.877,93.114,93.445,93.8,93.919,93.158,14801
2010-04-21 15:00:00,2010-04-21 19:00:00,92.972,93.503,93.61,92.93,93.023,93.553,93.661,92.979,6385
2010-04-21 19:00:00,2010-04-21 23:00:00,93.12,93.2,93.266,93.011,93.172,93.299,93.339,93.079,2550
2010-04-21 23:00:00,2010-04-22 03:00:00,92.78,92.95,93.057,92.742,92.838,93.006,93.113,92.797,5227
2010-04-22 03:00:00,2010-04-22 07:00:00,92.946,93.348,93.404,92.89,93.002,93.404,93.437,92.942,5778
2010-04-22 07:00:00,2010-04-22 11:00:00,92.962,93.569,93.609,92.683,93.012,93.625,93.665,92.736,11793
2010-04-22 11:00:00,2010-04-22 15:00:00,92.523,93.124,93.15,92.438,92.736,93.172,93.2,92.487,17630
2010-04-22 15:00:00,2010-04-22 19:00:00,92.847,93.6,93.637,92.816,92.9,93.649,93.683,92.869,7212
2010-04-22 19:00:00,2010-04-22 23:00:00,93.216,93.419,93.6,93.137,93.293,93.503,93.654,93.199,4753
2010-04-22 23:00:00,2010-04-23 03:00:00,93.13,93.227,93.324,93.056,93.177,93.279,93.369,93.109,4373
2010-04-23 03:00:00,2010-04-23 07:00:00,93.161,93.516,93.556,93.1,93.215,93.574,93.593,93.145,6378
2010-04-23 07:00:00,2010-04-23 11:00:00,93.408,93.669,93.743,93.074,93.459,93.739,93.797,93.129,12039
2010-04-23 11:00:00,2010-04-23 15:00:00,93.586,93.988,94.053,93.399,93.639,94.038,94.095,93.459,18622
2010-04-23 15:00:00,2010-04-23 19:00:00,93.84,94.081,94.135,93.718,93.891,94.139,94.179,93.769,4845
2010-04-23 19:00:00,2010-04-23 20:00:00,94.081,94.081,94.091,94.081,94.139,94.139,94.139,94.139,2
2010-04-23 20:00:00,2010-04-26 01:00:00,94.147,94.426,94.461,93.933,94.211,94.469,94.505,94.017,4466
2010-04-26 01:00:00,2010-04-26 05:00:00,94.261,94.369,94.432,94.21,94.305,94.413,94.476,94.254,3171
2010-04-26 05:00:00,2010-04-26 09:00:00,94.034,94.282,94.434,93.962,94.078,94.331,94.471,93.982,9035
2010-04-26 09:00:00,2010-04-26 13:00:00,94.115,94.377,94.47,94.03,94.163,94.416,94.511,94.074,10609
2010-04-26 13:00:00,2010-04-26 17:00:00,93.955,94.055,94.18,93.817,93.996,94.091,94.215,93.859,8755
2010-04-26 17:00:00,2010-04-26 21:00:00,93.836,93.927,94.097,93.783,93.899,93.972,94.139,93.829,3829
2010-04-26 21:00:00,2010-04-27 01:00:00,93.742,93.82,93.956,93.675,93.79,93.875,94.012,93.715,3409
2010-04-27 01:00:00,2010-04-27 05:00:00,93.633,93.82,93.948,93.543,93.677,93.868,93.992,93.585,3188
2010-04-27 05:00:00,2010-04-27 09:00:00,93.526,93.691,93.857,93.343,93.566,93.718,93.899,93.383,9807
2010-04-27 09:00:00,2010-04-27 13:00:00,92.77,93.54,93.615,92.571,92.819,93.579,93.649,92.609,12489
2010-04-27 13:00:00,2010-04-27 17:00:00,91.45,92.943,93.1,91.143,91.493,92.987,93.144,91.189,21203
2010-04-27 17:00:00,2010-04-27 21:00:00,91.53,91.788,92.14,91.369,91.569,91.829,92.177,91.411,7305
2010-04-27 21:00:00,2010-04-28 01:00:00,91.59,91.799,91.93,91.576,91.659,91.844,91.983,91.62,5482
2010-04-28 01:00:00,2010-04-28 05:00:00,91.768,92.082,92.144,91.709,91.812,92.125,92.179,91.754,6101
2010-04-28 05:00:00,2010-04-28 09:00:00,91.716,92.28,92.311,91.653,91.751,92.299,92.32,91.677,14993
2010-04-28 09:00:00,2010-04-28 13:00:00,92.28,93.269,93.324,92.19,92.299,93.311,93.361,92.211,18471
2010-04-28 13:00:00,2010-04-28 17:00:00,92.675,93.033,93.194,92.368,92.715,93.071,93.227,92.403,17678
2010-04-28 17:00:00,2010-04-28 21:00:00,93.033,93.524,93.598,92.705,93.071,93.56,93.639,92.756,9369
2010-04-28 21:00:00,2010-04-29 01:00:00,92.913,92.982,93.268,92.784,92.94,93.028,93.303,92.819,4593
2010-04-29 01:00:00,2010-04-29 05:00:00,92.856,93.05,93.087,92.838,92.899,93.073,93.127,92.884,2432
2010-04-29 05:00:00,2010-04-29 09:00:00,93.05,93.579,93.579,92.951,93.073,93.618,93.618,92.985,10822
2010-04-29 09:00:00,2010-04-29 13:00:00,93.579,93.87,93.924,93.504,93.618,93.907,94.08,93.539,11999
2010-04-29 13:00:00,2010-04-29 17:00:00,93.575,93.8,93.967,93.466,93.617,93.837,94.001,93.503,11203
2010-04-29 17:00:00,2010-04-29 21:00:00,93.403,93.55,93.778,93.396,93.443,93.619,93.819,93.438,4546
2010-04-29 21:00:00,2010-04-30 00:00:00,93.51,93.626,93.692,93.39,93.559,93.67,93.739,93.435,3260
