open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2011-04-17 20:00:00,2011-04-18 00:00:00,93.028,93.143,93.296,92.837,93.062,93.229,93.341,92.872,6991
2011-04-18 00:00:00,2011-04-18 04:00:00,92.695,92.814,92.896,92.526,92.729,92.853,92.933,92.562,14173
2011-04-18 04:00:00,2011-04-18 08:00:00,92.532,92.797,92.811,92.307,92.57,92.821,92.83,92.344,19820
2011-04-18 08:00:00,2011-04-18 12:00:00,92.253,92.456,92.483,92.18,92.287,92.473,92.506,92.201,15624
2011-04-18 12:00:00,2011-04-18 16:00:00,91.515,92.328,92.818,91.402,91.549,92.364,92.842,91.435,30871
2011-04-18 16:00:00,2011-04-18 20:00:00,91.741,92.218,92.338,91.644,91.778,92.254,92.362,91.672,9799
2011-04-18 20:00:00,2011-04-19 00:00:00,91.883,92.201,92.316,91.871,91.921,92.226,92.349,91.917,10287
2011-04-19 00:00:00,2011-04-19 04:00:00,91.949,91.995,92.204,91.895,91.984,92.029,92.228,91.931,12342
2011-04-19 04:00:00,2011-04-19 08:00:00,91.961,92.043,92.148,91.848,91.998,92.081,92.187,91.88,15931
2011-04-19 08:00:00,2011-04-19 12:00:00,91.786,91.972,92.117,91.768,91.805,92.002,92.139,91.794,18949
2011-04-19 12:00:00,2011-04-19 16:00:00,91.654,91.833,91.973,91.556,91.687,91.865,92.009,91.59,16723
2011-04-19 16:00:00,2011-04-19 20:00:00,91.554,91.75,91.806,91.503,91.59,91.797,91.848,91.532,9500
2011-04-19 20:00:00,2011-04-20 00:00:00,91.73,92.046,92.162,91.499,91.797,92.093,92.208,91.599,7712
2011-04-20 00:00:00,2011-04-20 04:00:00,92.046,92.446,92.546,92.021,92.093,92.485,92.584,92.068,9177
2011-04-20 04:00:00,2011-04-20 08:00:00,92.268,92.657,92.68,92.23,92.306,92.695,92.712,92.259,13721
2011-04-20 08:00:00,2011-04-20 12:00:00,92.602,92.837,92.948,92.538,92.635,92.867,92.981,92.573,15586
2011-04-20 12:00:00,2011-04-20 16:00:00,92.408,92.635,92.837,92.321,92.442,92.678,92.871,92.357,18382
2011-04-20 16:00:00,2011-04-20 20:00:00,92.554,92.94,92.971,92.468,92.592,92.999,93.046,92.503,9428
2011-04-20 20:00:00,2011-04-21 00:00:00,92.737,92.876,92.947,92.585,92.792,92.968,93.079,92.624,6549
2011-04-21 00:00:00,2011-04-21 04:00:00,92.671,92.734,92.983,92.501,92.71,92.769,93.014,92.537,6680
2011-04-21 04:00:00,2011-04-21 08:00:00,92.561,93.113,93.146,92.319,92.591,93.152,93.18,92.368,17721
2011-04-21 08:00:00,2011-04-21 12:00:00,92.845,93.068,93.16,92.71,92.863,93.089,93.194,92.727,16267
2011-04-21 12:00:00,2011-04-21 16:00:00,92.588,92.73,93.121,92.529,92.619,92.85,93.152,92.559,15347
2011-04-21 16:00:00,2011-04-21 20:00:00,92.384,92.512,92.581,92.262,92.422,92.553,92.618,92.3,5320
2011-04-21 20:00:00,2011-04-22 00:00:00,92.32,92.379,92.483,92.166,92.397,92.443,92.533,92.232,3124
2011-04-22 00:00:00,2011-04-22 04:00:00,92.133,92.341,92.39,92.069,92.204,92.399,92.44,92.125,4364
2011-04-22 04:00:00,2011-04-22 08:00:00,92.341,92.538,92.611,92.271,92.399,92.585,92.642,92.304,5639
2011-04-22 08:00:00,2011-04-22 12:00:00,92.48,92.577,92.625,92.46,92.538,92.652,92.67,92.507,2046
2011-04-22 12:00:00,2011-04-22 16:00:00,92.301,92.49,92.536,92.191,92.427,92.563,92.583,92.247,1755
2011-04-22 16:00:00,2011-04-22 20:00:00,92.404,92.527,92.534,92.329,92.547,92.652,92.706,92.467,1160
2011-04-22 20:00:00,2011-04-25 00:00:00,92.305,92.844,92.974,92.243,92.431,92.893,93.032,92.409,5244
