open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2018-05-09 00:00:00,2018-05-09 04:00:00,12522,12590,12609,12505,12530,12598,12617,12513,9665
2018-05-09 04:00:00,2018-05-09 08:00:00,12552,12581,12588,12488,12560,12590,12598,12498,9500
2018-05-09 08:00:00,2018-05-09 12:00:00,12564,12570,12587,12558,12572,12580,12595,12567,2071
2018-05-09 12:00:00,2018-05-09 16:00:00,12534,12560,12572,12532,12545,12569,12585,12541,4731
2018-05-09 16:00:00,2018-05-09 20:00:00,12560,12581,12583,12545,12568,12593,12594,12566,2177
2018-05-09 20:00:00,2018-05-10 04:00:00,12553,12582,12670,12536,12561,12590,12679,12545,9213
2018-05-10 04:00:00,2018-05-10 08:00:00,12567,12641,12652,12540,12575,12650,12660,12548,9651
2018-05-10 08:00:00,2018-05-10 12:00:00,12598,12623,12624,12593,12607,12632,12634,12601,2155
2018-05-10 12:00:00,2018-05-10 16:00:00,12623,12688,12698,12611,12632,12696,12707,12625,3796
2018-05-10 16:00:00,2018-05-10 20:00:00,12677,12697,12699,12669,12688,12707,12707,12678,1886
2018-05-10 20:00:00,2018-05-11 04:00:00,12606,12628,12697,12574,12614,12636,12708,12582,8495
2018-05-11 04:00:00,2018-05-11 08:00:00,12574,12624,12644,12569,12583,12633,12652,12577,9583
2018-05-11 08:00:00,2018-05-11 12:00:00,12592,12609,12614,12587,12602,12618,12622,12600,2115
2018-05-11 12:00:00,2018-05-11 16:00:00,12601,12622,12626,12594,12611,12631,12634,12604,4351
2018-05-11 16:00:00,2018-05-11 20:00:00,12603,12614,12617,12597,12612,12622,12631,12606,1441
2018-05-11 20:00:00,2018-05-14 04:00:00,12614,12764,12777,12630,12622,12773,12785,12640,9465
2018-05-14 04:00:00,2018-05-14 08:00:00,12726,12783,12784,12706,12735,12792,12793,12714,4857
2018-05-14 08:00:00,2018-05-14 12:00:00,12783,12795,12798,12774,12792,12803,12806,12782,1113
2018-05-14 12:00:00,2018-05-14 16:00:00,12788,12821,12825,12783,12796,12829,12834,12791,2488
2018-05-14 16:00:00,2018-05-14 20:00:00,12805,12813,12817,12800,12814,12823,12832,12810,1821
2018-05-14 20:00:00,2018-05-15 04:00:00,12681,12730,12818,12660,12689,12739,12826,12669,6583
2018-05-15 04:00:00,2018-05-15 08:00:00,12671,12749,12755,12653,12680,12757,12763,12661,4780
2018-05-15 08:00:00,2018-05-15 12:00:00,12701,12716,12725,12648,12710,12724,12734,12656,2297
2018-05-15 12:00:00,2018-05-15 16:00:00,12625,12644,12660,12623,12636,12654,12670,12635,7600
2018-05-15 16:00:00,2018-05-15 20:00:00,12608,12629,12637,12600,12618,12642,12648,12610,3203
2018-05-15 20:00:00,2018-05-16 04:00:00,12620,12666,12719,12619,12642,12676,12729,12627,10494
2018-05-16 04:00:00,2018-05-16 08:00:00,12553,12653,12687,12545,12561,12661,12695,12553,5832
2018-05-16 08:00:00,2018-05-16 12:00:00,12568,12602,12610,12545,12578,12610,12618,12553,2177
2018-05-16 12:00:00,2018-05-16 16:00:00,12583,12622,12624,12583,12592,12630,12632,12591,4205
2018-05-16 16:00:00,2018-05-16 20:00:00,12619,12630,12630,12607,12627,12638,12639,12626,1456
2018-05-16 20:00:00,2018-05-17 04:00:00,12539,12558,12644,12511,12547,12566,12652,12519,7799
2018-05-17 04:00:00,2018-05-17 08:00:00,12466,12477,12557,12448,12474,12485,12565,12456,6024
2018-05-17 08:00:00,2018-05-17 12:00:00,12455,12488,12492,12447,12463,12496,12501,12456,2122
2018-05-17 12:00:00,2018-05-17 16:00:00,12464,12505,12508,12462,12473,12513,12516,12471,3916
2018-05-17 16:00:00,2018-05-17 20:00:00,12453,12465,12483,12448,12465,12476,12498,12457,2718
