open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2018-02-08 00:59:00,2018-02-08 01:00:00,13702,13761,13826,13749,13718,13779,13846,13769,282
2018-02-08 01:00:00,2018-02-08 01:01:00,13761,13774,13789,13764,13779,13789,13807,13779,162
2018-02-08 01:01:00,2018-02-08 01:02:00,13774,13799,13806,13771,13789,13814,13824,13789,71
2018-02-08 01:02:00,2018-02-08 01:03:00,13799,13799,13799,13786,13814,13814,13818,13802,60
2018-02-08 01:03:00,2018-02-08 01:04:00,13799,13802,13803,13791,13814,13819,13820,13809,71
2018-02-08 01:04:00,2018-02-08 01:05:00,13802,13814,13818,13801,13819,13829,13835,13817,50
2018-02-08 01:05:00,2018-02-08 01:06:00,13814,13816,13819,13809,13829,13834,13834,13827,52
2018-02-08 01:06:00,2018-02-08 01:07:00,13816,13817,13818,13811,13834,13832,13835,13829,63
2018-02-08 01:07:00,2018-02-08 01:08:00,13817,13813,13818,13809,13832,13829,13834,13824,75
2018-02-08 01:08:00,2018-02-08 01:09:00,13813,13814,13816,13811,13829,13829,13833,13829,22
2018-02-08 01:09:00,2018-02-08 01:10:00,13814,13811,13814,13809,13829,13827,13834,13827,48
2018-02-08 01:10:00,2018-02-08 01:11:00,13811,13814,13816,13808,13827,13829,13833,13824,72
2018-02-08 01:11:00,2018-02-08 01:12:00,13814,13816,13821,13814,13829,13832,13837,13832,31
2018-02-08 01:12:00,2018-02-08 01:13:00,13816,13827,13827,13815,13832,13842,13844,13832,27
2018-02-08 01:13:00,2018-02-08 01:14:00,13827,13819,13829,13818,13842,13834,13845,13834,68
2018-02-08 01:14:00,2018-02-08 01:15:00,13819,13799,13819,13799,13834,13817,13835,13814,128
2018-02-08 01:15:00,2018-02-08 01:16:00,13799,13809,13816,13798,13817,13827,13833,13817,173
2018-02-08 01:16:00,2018-02-08 01:17:00,13809,13794,13809,13791,13827,13810,13825,13807,103
2018-02-08 01:17:00,2018-02-08 01:18:00,13794,13776,13794,13776,13810,13794,13810,13794,86
2018-02-08 01:18:00,2018-02-08 01:19:00,13776,13789,13791,13777,13794,13805,13809,13794,69
2018-02-08 01:19:00,2018-02-08 01:20:00,13789,13779,13791,13774,13805,13794,13808,13789,76
2018-02-08 01:20:00,2018-02-08 01:21:00,13779,13769,13779,13769,13794,13787,13797,13784,81
2018-02-08 01:21:00,2018-02-08 01:22:00,13769,13763,13777,13761,13787,13779,13794,13779,87
2018-02-08 01:22:00,2018-02-08 01:23:00,13763,13756,13767,13752,13779,13772,13785,13769,111
2018-02-08 01:23:00,2018-02-08 01:24:00,13756,13741,13756,13740,13772,13757,13775,13757,118
2018-02-08 01:24:00,2018-02-08 01:25:00,13741,13752,13759,13731,13757,13767,13777,13747,115
2018-02-08 01:25:00,2018-02-08 01:26:00,13752,13749,13754,13743,13767,13764,13771,13759,117
2018-02-08 01:26:00,2018-02-08 01:27:00,13749,13743,13746,13731,13764,13759,13765,13747,85
2018-02-08 01:27:00,2018-02-08 01:28:00,13743,13751,13754,13744,13759,13767,13770,13759,55
2018-02-08 01:28:00,2018-02-08 01:29:00,13751,13741,13749,13736,13767,13757,13767,13752,73
2018-02-08 01:29:00,2018-02-08 01:30:00,13741,13749,13752,13713,13757,13767,13767,13731,507
2018-02-08 01:30:00,2018-02-08 01:31:00,13749,13722,13751,13714,13767,13737,13769,13732,420
2018-02-08 01:31:00,2018-02-08 01:32:00,13722,13684,13724,13684,13737,13699,13740,13699,442
2018-02-08 01:32:00,2018-02-08 01:33:00,13684,13654,13682,13649,13699,13669,13700,13667,565
2018-02-08 01:33:00,2018-02-08 01:34:00,13654,13681,13699,13647,13669,13697,13715,13664,480
2018-02-08 01:34:00,2018-02-08 01:35:00,13681,13704,13711,13667,13697,13722,13730,13685,338
2018-02-08 01:35:00,2018-02-08 01:36:00,13704,13709,13724,13700,13722,13727,13740,13717,326
2018-02-08 01:36:00,2018-02-08 01:37:00,13709,13707,13714,13689,13727,13724,13730,13704,292
2018-02-08 01:37:00,2018-02-08 01:38:00,13707,13686,13716,13686,13724,13702,13732,13702,274
2018-02-08 01:38:00,2018-02-08 01:39:00,13686,13656,13687,13654,13702,13672,13707,13669,295
2018-02-08 01:39:00,2018-02-08 01:40:00,13656,13701,13702,13654,13672,13717,13720,13669,341
2018-02-08 01:40:00,2018-02-08 01:41:00,13701,13664,13706,13655,13717,13679,13723,13674,284
2018-02-08 01:41:00,2018-02-08 01:42:00,13664,13687,13699,13661,13679,13702,13714,13677,227
2018-02-08 01:42:00,2018-02-08 01:43:00,13687,13666,13689,13656,13702,13682,13705,13672,216
2018-02-08 01:43:00,2018-02-08 01:44:00,13666,13654,13676,13654,13682,13669,13693,13669,147
2018-02-08 01:44:00,2018-02-08 01:45:00,13654,13671,13682,13649,13669,13687,13698,13667,290
2018-02-08 01:45:00,2018-02-08 01:46:00,13671,13714,13721,13671,13687,13732,13737,13689,212
2018-02-08 01:46:00,2018-02-08 01:47:00,13714,13726,13734,13709,13732,13742,13750,13724,167
2018-02-08 01:47:00,2018-02-08 01:48:00,13726,13771,13774,13729,13742,13787,13791,13744,277
2018-02-08 01:48:00,2018-02-08 01:49:00,13771,13766,13776,13753,13787,13782,13793,13769,229
2018-02-08 01:49:00,2018-02-08 01:50:00,13766,13769,13777,13741,13782,13784,13793,13757,266
2018-02-08 01:50:00,2018-02-08 01:51:00,13769,13764,13771,13746,13784,13782,13789,13762,214
2018-02-08 01:51:00,2018-02-08 01:52:00,13764,13754,13771,13754,13782,13771,13787,13771,236
2018-02-08 01:52:00,2018-02-08 01:53:00,13754,13769,13772,13749,13771,13784,13787,13764,178
2018-02-08 01:53:00,2018-02-08 01:54:00,13769,13746,13769,13744,13784,13762,13785,13759,166
2018-02-08 01:54:00,2018-02-08 01:55:00,13746,13732,13759,13724,13762,13747,13774,13739,171
2018-02-08 01:55:00,2018-02-08 01:56:00,13732,13739,13754,13730,13747,13754,13769,13747,178
2018-02-08 01:56:00,2018-02-08 01:57:00,13739,13736,13744,13729,13754,13752,13761,13744,105
