open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2015-05-04 23:00:00,2015-05-05 03:00:00,2.906,2.915,2.916,2.89,2.908,2.917,2.919,2.899,1591
2015-05-05 03:00:00,2015-05-05 07:00:00,2.9,2.909,2.912,2.898,2.903,2.912,2.914,2.9,1163
2015-05-05 07:00:00,2015-05-05 11:00:00,2.907,2.932,2.941,2.906,2.909,2.934,2.943,2.909,1421
2015-05-05 11:00:00,2015-05-05 15:00:00,2.923,2.954,2.954,2.92,2.925,2.956,2.956,2.922,3821
2015-05-05 15:00:00,2015-05-05 19:00:00,2.927,2.936,2.954,2.922,2.93,2.938,2.956,2.924,1041
2015-05-05 19:00:00,2015-05-05 23:00:00,2.927,2.931,2.932,2.915,2.931,2.934,2.934,2.927,202
2015-05-05 23:00:00,2015-05-06 03:00:00,2.923,2.932,2.937,2.922,2.925,2.934,2.939,2.924,1321
2015-05-06 03:00:00,2015-05-06 07:00:00,2.927,2.934,2.946,2.925,2.93,2.936,2.948,2.927,1899
2015-05-06 07:00:00,2015-05-06 11:00:00,2.915,2.925,2.933,2.91,2.917,2.927,2.935,2.912,1815
2015-05-06 11:00:00,2015-05-06 15:00:00,2.918,2.934,2.936,2.903,2.921,2.936,2.939,2.905,4041
2015-05-06 15:00:00,2015-05-06 19:00:00,2.913,2.926,2.93,2.911,2.915,2.928,2.932,2.914,1003
2015-05-06 19:00:00,2015-05-06 23:00:00,2.925,2.926,2.929,2.9,2.927,2.928,2.931,2.927,112
2015-05-06 23:00:00,2015-05-07 03:00:00,2.909,2.922,2.926,2.9,2.911,2.924,2.929,2.91,1194
2015-05-07 03:00:00,2015-05-07 07:00:00,2.907,2.928,2.933,2.9,2.91,2.93,2.935,2.908,1285
2015-05-07 07:00:00,2015-05-07 11:00:00,2.926,2.935,2.938,2.918,2.928,2.937,2.941,2.924,1245
2015-05-07 11:00:00,2015-05-07 15:00:00,2.914,2.921,2.929,2.908,2.916,2.923,2.941,2.912,3827
2015-05-07 15:00:00,2015-05-07 19:00:00,2.91,2.917,2.922,2.909,2.912,2.919,2.924,2.911,526
2015-05-07 19:00:00,2015-05-07 23:00:00,2.915,2.917,2.919,2.914,2.918,2.919,2.928,2.916,136
2015-05-07 23:00:00,2015-05-08 03:00:00,2.913,2.919,2.923,2.9,2.915,2.922,2.925,2.912,1305
2015-05-08 03:00:00,2015-05-08 07:00:00,2.914,2.924,2.93,2.912,2.916,2.927,2.932,2.914,879
2015-05-08 07:00:00,2015-05-08 11:00:00,2.917,2.928,2.931,2.912,2.92,2.93,2.933,2.915,1057
2015-05-08 11:00:00,2015-05-08 15:00:00,2.904,2.917,2.922,2.873,2.906,2.919,2.926,2.889,5189
2015-05-08 15:00:00,2015-05-08 19:00:00,2.916,2.919,2.922,2.913,2.918,2.921,2.924,2.915,841
2015-05-08 19:00:00,2015-05-08 20:00:00,2.914,2.914,2.917,2.913,2.917,2.916,2.919,2.916,69
2015-05-08 20:00:00,2015-05-11 01:00:00,2.914,2.926,2.928,2.895,2.916,2.928,2.931,2.897,1228
2015-05-11 01:00:00,2015-05-11 05:00:00,2.9,2.903,2.903,2.898,2.902,2.905,2.906,2.9,394
2015-05-11 05:00:00,2015-05-11 09:00:00,2.903,2.916,2.921,2.903,2.905,2.919,2.924,2.905,1407
2015-05-11 09:00:00,2015-05-11 13:00:00,2.902,2.909,2.916,2.9,2.904,2.912,2.918,2.902,2131
2015-05-11 13:00:00,2015-05-11 17:00:00,2.899,2.908,2.91,2.895,2.901,2.91,2.912,2.897,2140
2015-05-11 17:00:00,2015-05-11 21:00:00,2.904,2.91,2.911,2.903,2.906,2.912,2.913,2.905,168
2015-05-11 21:00:00,2015-05-12 01:00:00,2.906,2.911,2.912,2.88,2.909,2.913,2.924,2.903,563
2015-05-12 01:00:00,2015-05-12 05:00:00,2.904,2.913,2.914,2.888,2.906,2.916,2.924,2.905,728
2015-05-12 05:00:00,2015-05-12 09:00:00,2.912,2.933,2.939,2.908,2.914,2.935,2.942,2.911,1989
2015-05-12 09:00:00,2015-05-12 13:00:00,2.932,2.937,2.944,2.924,2.935,2.94,2.947,2.926,2665
2015-05-12 13:00:00,2015-05-12 17:00:00,2.93,2.935,2.94,2.926,2.932,2.938,2.943,2.928,1530
2015-05-12 17:00:00,2015-05-12 21:00:00,2.927,2.93,2.931,2.927,2.93,2.932,2.934,2.929,238
2015-05-12 21:00:00,2015-05-13 01:00:00,2.927,2.931,2.935,2.926,2.93,2.933,2.937,2.928,392
2015-05-13 01:00:00,2015-05-13 05:00:00,2.927,2.93,2.932,2.927,2.929,2.932,2.934,2.929,245
2015-05-13 05:00:00,2015-05-13 09:00:00,2.928,2.94,2.946,2.925,2.93,2.942,2.948,2.927,704
2015-05-13 09:00:00,2015-05-13 13:00:00,2.927,2.94,2.944,2.925,2.929,2.942,2.946,2.927,683
2015-05-13 13:00:00,2015-05-13 17:00:00,2.919,2.929,2.944,2.911,2.921,2.931,2.946,2.913,749
2015-05-13 17:00:00,2015-05-13 21:00:00,2.926,2.93,2.931,2.926,2.928,2.932,2.933,2.928,52
2015-05-13 21:00:00,2015-05-14 00:00:00,2.929,2.931,2.933,2.925,2.931,2.933,2.935,2.927,78
