open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2015-12-30 23:00:00,2015-12-31 03:00:00,1.0794,1.08026,1.08045,1.07925,1.07973,1.08059,1.08076,1.07959,9830
2015-12-31 03:00:00,2015-12-31 07:00:00,1.08021,1.08172,1.0822,1.08016,1.08052,1.08196,1.08244,1.08046,15980
2015-12-31 07:00:00,2015-12-31 11:00:00,1.08076,1.08258,1.08324,1.08041,1.081,1.08282,1.08354,1.08065,29456
2015-12-31 11:00:00,2015-12-31 15:00:00,1.08196,1.08717,1.08735,1.0817,1.08222,1.08741,1.08761,1.08199,63058
2015-12-31 15:00:00,2015-12-31 18:00:00,1.08615,1.08775,1.08787,1.08509,1.08651,1.08799,1.0881,1.08538,27943
2015-12-31 18:00:00,2016-01-03 23:00:00,1.08541,1.0877,1.08826,1.0845,1.08741,1.08954,1.08974,1.08485,9603
2016-01-03 23:00:00,2016-01-04 03:00:00,1.08472,1.08623,1.08675,1.08473,1.08507,1.08655,1.08692,1.08506,31628
2016-01-04 03:00:00,2016-01-04 07:00:00,1.08368,1.08576,1.08656,1.0835,1.08401,1.08604,1.08681,1.0838,42853
2016-01-04 07:00:00,2016-01-04 11:00:00,1.08576,1.08939,1.08998,1.08563,1.08604,1.08965,1.09022,1.08587,54513
2016-01-04 11:00:00,2016-01-04 15:00:00,1.0869,1.08923,1.08972,1.08562,1.08754,1.08955,1.08995,1.08582,61060
2016-01-04 15:00:00,2016-01-04 19:00:00,1.08485,1.08535,1.0861,1.08378,1.08506,1.08563,1.08638,1.08402,43014
2016-01-04 19:00:00,2016-01-04 23:00:00,1.08483,1.08562,1.08607,1.08408,1.08529,1.08609,1.08631,1.08489,22307
2016-01-04 23:00:00,2016-01-05 03:00:00,1.08382,1.08527,1.08579,1.08378,1.08413,1.08546,1.0861,1.08399,26762
2016-01-05 03:00:00,2016-01-05 07:00:00,1.08378,1.08487,1.08555,1.08347,1.08402,1.08512,1.08582,1.0837,24963
2016-01-05 07:00:00,2016-01-05 11:00:00,1.08462,1.08599,1.08655,1.08384,1.0849,1.08623,1.08677,1.08408,48524
2016-01-05 11:00:00,2016-01-05 15:00:00,1.08422,1.08472,1.08777,1.08344,1.08445,1.08493,1.08804,1.08364,50858
2016-01-05 15:00:00,2016-01-05 19:00:00,1.08406,1.08451,1.08473,1.08347,1.08431,1.08473,1.08494,1.08371,32627
2016-01-05 19:00:00,2016-01-05 23:00:00,1.08347,1.08441,1.08469,1.08346,1.08371,1.0849,1.085,1.08371,21412
2016-01-05 23:00:00,2016-01-06 03:00:00,1.08384,1.08475,1.0853,1.08369,1.08411,1.08503,1.08554,1.08395,32662
2016-01-06 03:00:00,2016-01-06 07:00:00,1.08445,1.08476,1.08521,1.08261,1.08475,1.08503,1.08549,1.08285,32855
2016-01-06 07:00:00,2016-01-06 11:00:00,1.08272,1.08417,1.08463,1.0826,1.08298,1.08441,1.08486,1.08283,45336
2016-01-06 11:00:00,2016-01-06 15:00:00,1.08417,1.0848,1.0858,1.08378,1.08441,1.08519,1.08602,1.08404,57454
2016-01-06 15:00:00,2016-01-06 19:00:00,1.08404,1.08614,1.08687,1.08404,1.08426,1.08638,1.08712,1.08426,49597
2016-01-06 19:00:00,2016-01-06 23:00:00,1.08547,1.08608,1.08626,1.08505,1.08592,1.08694,1.08727,1.08557,23882
2016-01-06 23:00:00,2016-01-07 03:00:00,1.08529,1.0858,1.08657,1.08487,1.08551,1.08609,1.08689,1.08517,43893
2016-01-07 03:00:00,2016-01-07 07:00:00,1.08479,1.0851,1.08577,1.08408,1.08505,1.08537,1.08604,1.08433,41074
2016-01-07 07:00:00,2016-01-07 11:00:00,1.08481,1.08727,1.08806,1.0848,1.08508,1.08759,1.08828,1.08507,65419
2016-01-07 11:00:00,2016-01-07 15:00:00,1.08685,1.08707,1.08798,1.08614,1.08706,1.08732,1.08811,1.08638,56222
2016-01-07 15:00:00,2016-01-07 19:00:00,1.08611,1.08799,1.08835,1.08518,1.08634,1.08824,1.08858,1.08544,53195
2016-01-07 19:00:00,2016-01-07 23:00:00,1.08525,1.08577,1.08665,1.08479,1.08554,1.08632,1.08708,1.08512,31394
2016-01-07 23:00:00,2016-01-08 03:00:00,1.0847,1.08514,1.0859,1.08423,1.08502,1.08546,1.08619,1.0845,42742
2016-01-08 03:00:00,2016-01-08 07:00:00,1.08428,1.08539,1.08614,1.08416,1.08457,1.08565,1.08637,1.0844,33607
2016-01-08 07:00:00,2016-01-08 11:00:00,1.08539,1.08832,1.08837,1.08532,1.08565,1.08855,1.08858,1.08561,42226
2016-01-08 11:00:00,2016-01-08 15:00:00,1.08478,1.08615,1.08698,1.08442,1.085,1.08639,1.08739,1.08463,77025
2016-01-08 15:00:00,2016-01-08 19:00:00,1.08497,1.08599,1.08666,1.08429,1.0852,1.0862,1.08687,1.0845,53759
2016-01-08 19:00:00,2016-01-08 21:00:00,1.08551,1.0864,1.08696,1.08525,1.08579,1.08757,1.08762,1.08548,11767
