open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2017-03-05 20:18:00,2017-03-05 20:19:00,1.07013,1.06895,1.06895,1.06895,1.07074,1.07014,1.07014,1.07009,2
2017-03-05 20:19:00,2017-03-05 20:25:00,1.06895,1.06895,1.06895,1.06895,1.07014,1.07009,1.07009,1.07009,1
2017-03-05 20:25:00,2017-03-05 20:27:00,1.06895,1.0696,1.06963,1.0696,1.07009,1.07054,1.07057,1.07054,3
2017-03-05 20:27:00,2017-03-05 20:50:00,1.06908,1.06963,1.06963,1.06963,1.07094,1.07057,1.07057,1.07057,1
2017-03-05 20:50:00,2017-03-05 20:52:00,1.06963,1.0696,1.0696,1.0696,1.07057,1.07054,1.07054,1.07054,1
2017-03-05 20:52:00,2017-03-05 20:55:00,1.0696,1.06908,1.06908,1.06908,1.07054,1.07094,1.07094,1.07094,1
2017-03-05 20:55:00,2017-03-05 21:01:00,1.06908,1.06958,1.06958,1.06958,1.07094,1.07052,1.07052,1.07052,1
2017-03-05 21:01:00,2017-03-05 21:08:00,1.06958,1.06958,1.06958,1.06856,1.07052,1.07052,1.07052,1.07046,6
2017-03-05 21:08:00,2017-03-05 21:26:00,1.06958,1.06958,1.06963,1.06958,1.07052,1.07052,1.07057,1.07052,4
2017-03-05 21:26:00,2017-03-05 21:32:00,1.06958,1.06963,1.06963,1.06958,1.07052,1.07057,1.07057,1.07052,5
2017-03-05 21:32:00,2017-03-05 21:42:00,1.06963,1.06908,1.06908,1.06908,1.07057,1.07089,1.07089,1.07089,1
2017-03-05 21:42:00,2017-03-05 21:46:00,1.06908,1.06958,1.06963,1.06958,1.07089,1.07052,1.07057,1.07052,3
2017-03-05 21:46:00,2017-03-05 21:49:00,1.06958,1.06908,1.06908,1.06908,1.07052,1.07089,1.07089,1.07089,1
2017-03-05 21:49:00,2017-03-05 22:03:00,1.06908,1.06959,1.06959,1.06959,1.07089,1.07044,1.07044,1.07044,1
2017-03-05 22:03:00,2017-03-05 22:04:00,1.06959,1.06946,1.06946,1.06946,1.07044,1.0709,1.0709,1.0709,1
2017-03-05 22:04:00,2017-03-05 22:05:00,1.06946,1.06959,1.06964,1.06925,1.0709,1.07071,1.07119,1.07068,16
2017-03-05 22:05:00,2017-03-05 22:06:00,1.06959,1.06979,1.07004,1.06957,1.07071,1.07118,1.07118,1.07072,23
2017-03-05 22:06:00,2017-03-05 22:07:00,1.06979,1.06955,1.07026,1.06955,1.07118,1.07059,1.07084,1.07045,70
2017-03-05 22:07:00,2017-03-05 22:08:00,1.06955,1.06985,1.06985,1.06931,1.07059,1.07035,1.0708,1.07035,19
2017-03-05 22:08:00,2017-03-05 22:09:00,1.06985,1.06987,1.06999,1.06987,1.07035,1.07055,1.07098,1.07051,15
2017-03-05 22:09:00,2017-03-05 22:10:00,1.06987,1.06963,1.06987,1.06963,1.07055,1.07057,1.07057,1.07037,2
2017-03-05 22:10:00,2017-03-05 22:11:00,1.06963,1.06947,1.06947,1.06946,1.07057,1.07081,1.07081,1.0708,2
2017-03-05 22:11:00,2017-03-05 22:12:00,1.06947,1.06988,1.06992,1.06986,1.07081,1.07038,1.07042,1.07036,6
2017-03-05 22:12:00,2017-03-05 22:13:00,1.06988,1.06983,1.06987,1.06983,1.07038,1.07033,1.07037,1.07033,5
2017-03-05 22:13:00,2017-03-05 22:14:00,1.06983,1.06984,1.06989,1.06984,1.07033,1.07034,1.07039,1.07034,5
