open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2017-04-03 23:59:00,2017-04-04 00:00:00,9.5567,9.5577,9.5577,9.5567,9.5643,9.5632,9.5644,9.5632,3
2017-04-04 00:00:00,2017-04-04 00:01:00,9.5577,9.5569,9.5582,9.556,9.5632,9.5653,9.5665,9.5631,28
2017-04-04 00:01:00,2017-04-04 00:02:00,9.5569,9.5578,9.5586,9.5576,9.5653,9.5632,9.5641,9.563,37
2017-04-04 00:02:00,2017-04-04 00:03:00,9.5578,9.5583,9.5585,9.5579,9.5632,9.5636,9.5638,9.5633,29
2017-04-04 00:03:00,2017-04-04 00:04:00,9.5583,9.5576,9.5586,9.5575,9.5636,9.5629,9.5639,9.5629,28
2017-04-04 00:04:00,2017-04-04 00:06:00,9.5576,9.5581,9.5584,9.5566,9.5629,9.5633,9.5636,9.563,42
2017-04-04 00:06:00,2017-04-04 00:07:00,9.5581,9.5586,9.5586,9.5581,9.5633,9.5637,9.5637,9.5633,52
2017-04-04 00:07:00,2017-04-04 00:08:00,9.5586,9.5585,9.5588,9.5562,9.5637,9.5636,9.5665,9.5635,46
2017-04-04 00:08:00,2017-04-04 00:09:00,9.5585,9.5587,9.5589,9.5587,9.5636,9.5638,9.564,9.5638,3
2017-04-04 00:09:00,2017-04-04 00:10:00,9.5587,9.5588,9.559,9.5585,9.5638,9.5638,9.564,9.5636,16
2017-04-04 00:10:00,2017-04-04 00:11:00,9.5588,9.5588,9.559,9.5588,9.5638,9.5638,9.564,9.5638,8
2017-04-04 00:11:00,2017-04-04 00:12:00,9.5588,9.5586,9.5588,9.5586,9.5638,9.5636,9.5638,9.5636,7
2017-04-04 00:12:00,2017-04-04 00:14:00,9.5586,9.5586,9.5586,9.5585,9.5636,9.5636,9.5636,9.5635,2
2017-04-04 00:14:00,2017-04-04 00:16:00,9.5586,9.5587,9.5588,9.5587,9.5636,9.5636,9.5637,9.5636,2
2017-04-04 00:16:00,2017-04-04 00:17:00,9.5587,9.5586,9.5586,9.5586,9.5636,9.5635,9.5635,9.5635,1
2017-04-04 00:17:00,2017-04-04 00:18:00,9.5586,9.5586,9.5588,9.5586,9.5635,9.5635,9.5637,9.5635,2
2017-04-04 00:18:00,2017-04-04 00:19:00,9.5586,9.5597,9.56,9.5588,9.5635,9.5646,9.5649,9.5637,24
2017-04-04 00:19:00,2017-04-04 00:20:00,9.5597,9.56,9.5605,9.5595,9.5646,9.5648,9.5653,9.5644,17
2017-04-04 00:20:00,2017-04-04 00:21:00,9.56,9.5601,9.5605,9.559,9.5648,9.56743,9.56775,9.5646,32
2017-04-04 00:21:00,2017-04-04 00:22:00,9.5601,9.5606,9.5608,9.5601,9.56743,9.5651,9.56766,9.5647,27
2017-04-04 00:22:00,2017-04-04 00:23:00,9.5606,9.561,9.561,9.5604,9.5651,9.5655,9.5655,9.5649,33
2017-04-04 00:23:00,2017-04-04 00:24:00,9.561,9.5587,9.561,9.5587,9.5655,9.5671,9.5671,9.5648,11
2017-04-04 00:24:00,2017-04-04 00:25:00,9.5587,9.5608,9.561,9.5586,9.5671,9.565,9.567,9.5646,26
2017-04-04 00:25:00,2017-04-04 00:26:00,9.5608,9.5608,9.5612,9.5608,9.565,9.5651,9.5654,9.565,9
2017-04-04 00:26:00,2017-04-04 00:27:00,9.5608,9.5604,9.5609,9.5603,9.5651,9.5646,9.5651,9.5645,17
2017-04-04 00:27:00,2017-04-04 00:28:00,9.5604,9.5607,9.5608,9.5602,9.5646,9.5648,9.5649,9.5643,12
2017-04-04 00:28:00,2017-04-04 00:29:00,9.5607,9.5607,9.5607,9.5603,9.5648,9.5648,9.5648,9.5644,8
2017-04-04 00:29:00,2017-04-04 00:30:00,9.5607,9.5606,9.5608,9.5605,9.5648,9.5646,9.5648,9.5646,5
2017-04-04 00:30:00,2017-04-04 00:31:00,9.5606,9.5607,9.5611,9.5604,9.5646,9.5647,9.5651,9.5644,20
2017-04-04 00:31:00,2017-04-04 00:32:00,9.5607,9.5605,9.5608,9.5592,9.5647,9.5645,9.5676,9.5643,14
2017-04-04 00:32:00,2017-04-04 00:33:00,9.5605,9.5603,9.5605,9.5602,9.5645,9.5642,9.5644,9.5641,5
2017-04-04 00:33:00,2017-04-04 00:34:00,9.5603,9.5604,9.5605,9.5597,9.5642,9.5643,9.5644,9.5638,9
2017-04-04 00:34:00,2017-04-04 00:35:00,9.5604,9.5603,9.5609,9.5579,9.5643,9.5642,9.568,9.5642,25
2017-04-04 00:35:00,2017-04-04 00:36:00,9.5603,9.5597,9.5603,9.5596,9.5642,9.5636,9.5641,9.5635,14
2017-04-04 00:36:00,2017-04-04 00:37:00,9.5597,9.561,9.5611,9.5578,9.5636,9.5647,9.5678,9.5636,35
2017-04-04 00:37:00,2017-04-04 00:38:00,9.561,9.5607,9.5609,9.5603,9.5647,9.5644,9.5646,9.5641,22
2017-04-04 00:38:00,2017-04-04 00:39:00,9.5607,9.5604,9.5605,9.5604,9.5644,9.5641,9.5642,9.5641,4
2017-04-04 00:39:00,2017-04-04 00:40:00,9.5604,9.5608,9.5608,9.5601,9.5641,9.5644,9.5644,9.5638,12
2017-04-04 00:40:00,2017-04-04 00:41:00,9.5608,9.5606,9.5607,9.5604,9.5644,9.5642,9.5643,9.564,4
2017-04-04 00:41:00,2017-04-04 00:42:00,9.5606,9.5601,9.5605,9.55734,9.5642,9.5637,9.56721,9.5637,24
2017-04-04 00:42:00,2017-04-04 00:43:00,9.5601,9.5602,9.5603,9.56,9.5637,9.5638,9.5639,9.5637,16
2017-04-04 00:43:00,2017-04-04 00:44:00,9.5602,9.5605,9.5605,9.5601,9.5638,9.5641,9.5641,9.5637,14
2017-04-04 00:44:00,2017-04-04 00:45:00,9.5605,9.5611,9.5611,9.5603,9.5641,9.5646,9.5646,9.5638,7
2017-04-04 00:45:00,2017-04-04 00:46:00,9.5611,9.5612,9.5616,9.5608,9.5646,9.5647,9.5651,9.5643,21
2017-04-04 00:46:00,2017-04-04 00:47:00,9.5612,9.5617,9.5629,9.5614,9.5647,9.565,9.5663,9.5648,20
2017-04-04 00:47:00,2017-04-04 00:48:00,9.5617,9.5619,9.5619,9.5619,9.565,9.5651,9.5651,9.5651,1
2017-04-04 00:48:00,2017-04-04 00:49:00,9.5619,9.5621,9.5621,9.5618,9.5651,9.5652,9.5652,9.565,3
2017-04-04 00:49:00,2017-04-04 00:50:00,9.5621,9.5619,9.562,9.5618,9.5652,9.565,9.5652,9.565,6
2017-04-04 00:50:00,2017-04-04 00:51:00,9.5619,9.5618,9.5618,9.5618,9.565,9.5649,9.5649,9.5649,1
2017-04-04 00:51:00,2017-04-04 00:53:00,9.5618,9.5607,9.5616,9.5607,9.5649,9.5638,9.5647,9.5638,24
2017-04-04 00:53:00,2017-04-04 00:54:00,9.5607,9.5562,9.561,9.5562,9.5638,9.5662,9.56656,9.5625,80
2017-04-04 00:54:00,2017-04-04 00:55:00,9.5562,9.5602,9.5604,9.5562,9.5662,9.5631,9.5661,9.5628,35
2017-04-04 00:55:00,2017-04-04 00:56:00,9.5602,9.5599,9.5606,9.55686,9.5631,9.5628,9.56597,9.5628,19
2017-04-04 00:56:00,2017-04-04 00:57:00,9.5599,9.5605,9.5607,9.5601,9.5628,9.5633,9.5636,9.563,17
2017-04-04 00:57:00,2017-04-04 00:58:00,9.5605,9.557,9.5603,9.5565,9.5633,9.5654,9.5658,9.563,33
2017-04-04 00:58:00,2017-04-04 00:59:00,9.557,9.5604,9.5607,9.5602,9.5654,9.5632,9.5635,9.563,14
2017-04-04 00:59:00,2017-04-04 01:00:00,9.5604,9.5603,9.5604,9.5602,9.5632,9.563,9.5631,9.5629,6
2017-04-04 01:00:00,2017-04-04 01:01:00,9.5603,9.5601,9.5604,9.5599,9.563,9.5628,9.5631,9.5626,7
2017-04-04 01:01:00,2017-04-04 01:02:00,9.5601,9.5598,9.5602,9.5568,9.5628,9.5625,9.5658,9.5624,18
2017-04-04 01:02:00,2017-04-04 01:03:00,9.5598,9.5603,9.5603,9.55683,9.5625,9.5629,9.5651,9.5618,27
2017-04-04 01:03:00,2017-04-04 01:04:00,9.5603,9.5604,9.5604,9.5604,9.5629,9.563,9.563,9.563,1
2017-04-04 01:04:00,2017-04-04 01:05:00,9.5604,9.5608,9.5608,9.5582,9.563,9.5633,9.5666,9.5628,23
2017-04-04 01:05:00,2017-04-04 01:06:00,9.5608,9.5606,9.5609,9.5574,9.5633,9.5634,9.5666,9.563,34
2017-04-04 01:06:00,2017-04-04 01:07:00,9.5606,9.5607,9.5609,9.5606,9.5634,9.5636,9.5639,9.5634,20
2017-04-04 01:07:00,2017-04-04 01:08:00,9.5607,9.5607,9.5609,9.5582,9.5636,9.5635,9.5667,9.5635,27
2017-04-04 01:08:00,2017-04-04 01:09:00,9.5607,9.5607,9.5608,9.5607,9.5635,9.5635,9.5638,9.5635,5
2017-04-04 01:09:00,2017-04-04 01:10:00,9.5607,9.5605,9.5609,9.5605,9.5635,9.5633,9.5638,9.5633,4
2017-04-04 01:10:00,2017-04-04 01:11:00,9.5605,9.5606,9.5609,9.5605,9.5633,9.5633,9.5637,9.5633,12
2017-04-04 01:11:00,2017-04-04 01:12:00,9.5606,9.5605,9.5605,9.5604,9.5633,9.5632,9.5632,9.5631,3
2017-04-04 01:12:00,2017-04-04 01:13:00,9.5605,9.5606,9.5607,9.5606,9.5632,9.5633,9.5634,9.5633,2
2017-04-04 01:13:00,2017-04-04 01:14:00,9.5606,9.5607,9.5607,9.5607,9.5633,9.5634,9.5634,9.5634,1
2017-04-04 01:14:00,2017-04-04 01:15:00,9.5607,9.5608,9.561,9.5608,9.5634,9.5637,9.5638,9.5635,7
2017-04-04 01:15:00,2017-04-04 01:16:00,9.5608,9.5614,9.5614,9.5607,9.5637,9.564,9.564,9.5636,16
2017-04-04 01:16:00,2017-04-04 01:17:00,9.5614,9.5612,9.5615,9.5612,9.564,9.5638,9.564,9.5638,4
2017-04-04 01:17:00,2017-04-04 01:18:00,9.5612,9.5608,9.5614,9.5608,9.5638,9.5635,9.5639,9.5635,5
2017-04-04 01:18:00,2017-04-04 01:19:00,9.5608,9.5607,9.5609,9.5607,9.5635,9.5637,9.5639,9.5635,12
2017-04-04 01:19:00,2017-04-04 01:20:00,9.5607,9.5607,9.561,9.5607,9.5637,9.5637,9.5639,9.5635,10
2017-04-04 01:20:00,2017-04-04 01:21:00,9.5607,9.5607,9.5607,9.5606,9.5637,9.5637,9.5637,9.5635,5
2017-04-04 01:21:00,2017-04-04 01:22:00,9.5607,9.5608,9.5608,9.5606,9.5637,9.5638,9.5638,9.5636,9
2017-04-04 01:22:00,2017-04-04 01:23:00,9.5608,9.5606,9.5608,9.5576,9.5638,9.5634,9.5662,9.5632,13
2017-04-04 01:23:00,2017-04-04 01:24:00,9.5606,9.5604,9.5605,9.5604,9.5634,9.5632,9.5633,9.5632,4
