open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2016-03-09 23:00:00,2016-03-10 03:00:00,3.17857,3.18063,3.18172,3.17562,3.18282,3.18463,3.18554,3.17985,19051
2016-03-10 03:00:00,2016-03-10 07:00:00,3.17458,3.1789,3.17952,3.16893,3.17831,3.18277,3.18365,3.17439,13239
2016-03-10 07:00:00,2016-03-10 11:00:00,3.16964,3.17633,3.18104,3.16714,3.17147,3.17805,3.18347,3.1686,22733
2016-03-10 11:00:00,2016-03-10 15:00:00,3.12289,3.23108,3.2368,3.11901,3.12549,3.23345,3.24059,3.12101,163872
2016-03-10 15:00:00,2016-03-10 19:00:00,3.23108,3.25093,3.25775,3.22944,3.23345,3.25296,3.26047,3.23272,79406
2016-03-10 19:00:00,2016-03-10 23:00:00,3.23079,3.23366,3.24261,3.22127,3.23487,3.23771,3.24597,3.2334,16633
2016-03-10 23:00:00,2016-03-11 03:00:00,3.22946,3.23229,3.2391,3.22369,3.23342,3.23785,3.24494,3.22825,32667
2016-03-11 03:00:00,2016-03-11 07:00:00,3.22012,3.22516,3.22753,3.20953,3.22386,3.22935,3.23121,3.2112,20503
2016-03-11 07:00:00,2016-03-11 11:00:00,3.18927,3.20061,3.2147,3.18314,3.19107,3.20234,3.21651,3.18455,45038
2016-03-11 11:00:00,2016-03-11 15:00:00,3.18994,3.20833,3.21198,3.18644,3.19156,3.21017,3.21405,3.18807,57860
2016-03-11 15:00:00,2016-03-11 19:00:00,3.19767,3.20712,3.21383,3.19556,3.19998,3.20962,3.21642,3.19818,42050
2016-03-11 19:00:00,2016-03-11 21:00:00,3.19406,3.19406,3.19813,3.1914,3.20048,3.20821,3.2103,3.19791,2903
2016-03-11 21:00:00,2016-03-14 00:00:00,3.19625,3.20866,3.21389,3.19562,3.21052,3.21829,3.22774,3.20567,2059
2016-03-14 00:00:00,2016-03-14 04:00:00,3.19868,3.20491,3.2052,3.19597,3.20596,3.20881,3.21215,3.20482,10599
2016-03-14 04:00:00,2016-03-14 08:00:00,3.20465,3.21414,3.21768,3.19858,3.20823,3.21714,3.22058,3.2005,27706
2016-03-14 08:00:00,2016-03-14 12:00:00,3.19979,3.20704,3.21006,3.19847,3.20109,3.20919,3.21187,3.19977,19750
2016-03-14 12:00:00,2016-03-14 16:00:00,3.19567,3.20492,3.20584,3.18974,3.19751,3.20693,3.2077,3.19145,39547
2016-03-14 16:00:00,2016-03-14 20:00:00,3.17917,3.18547,3.19158,3.17683,3.18079,3.19096,3.19351,3.17878,16489
2016-03-14 20:00:00,2016-03-15 00:00:00,3.18547,3.18626,3.18784,3.18377,3.19046,3.19056,3.19277,3.18823,6064
2016-03-15 00:00:00,2016-03-15 04:00:00,3.18615,3.19014,3.19148,3.18566,3.19012,3.1948,3.19596,3.1899,19695
2016-03-15 04:00:00,2016-03-15 08:00:00,3.18894,3.20868,3.20924,3.18573,3.19375,3.21059,3.21098,3.18938,25610
2016-03-15 08:00:00,2016-03-15 12:00:00,3.19868,3.21652,3.22328,3.19563,3.20066,3.21835,3.225,3.19828,36301
2016-03-15 12:00:00,2016-03-15 16:00:00,3.21652,3.22645,3.23087,3.21199,3.21835,3.22784,3.23317,3.21397,50652
2016-03-15 16:00:00,2016-03-15 20:00:00,3.22089,3.22535,3.22814,3.21591,3.22327,3.22691,3.23019,3.22154,10974
2016-03-15 20:00:00,2016-03-16 00:00:00,3.21591,3.2171,3.21885,3.21366,3.22102,3.22151,3.22411,3.21965,6660
2016-03-16 00:00:00,2016-03-16 04:00:00,3.21432,3.21801,3.2196,3.21304,3.21926,3.22246,3.22393,3.21768,13206
2016-03-16 04:00:00,2016-03-16 08:00:00,3.21519,3.22696,3.22931,3.21488,3.22043,3.2292,3.23164,3.21948,24555
2016-03-16 08:00:00,2016-03-16 12:00:00,3.22017,3.24161,3.24755,3.21821,3.22161,3.24356,3.25067,3.2204,20163
2016-03-16 12:00:00,2016-03-16 16:00:00,3.23275,3.23481,3.24348,3.2249,3.23413,3.23612,3.24541,3.22655,21638
2016-03-16 16:00:00,2016-03-16 20:00:00,3.21989,3.2254,3.24326,3.21531,3.22202,3.24093,3.2561,3.21865,59320
2016-03-16 20:00:00,2016-03-17 00:00:00,3.21637,3.21999,3.22154,3.21,3.22489,3.22743,3.23255,3.21524,2270
2016-03-17 00:00:00,2016-03-17 04:00:00,3.21264,3.21673,3.21905,3.21011,3.21555,3.22291,3.22457,3.21601,2870
2016-03-17 04:00:00,2016-03-17 08:00:00,3.21673,3.22705,3.22942,3.21259,3.22233,3.22991,3.23228,3.21424,20105
2016-03-17 08:00:00,2016-03-17 12:00:00,3.2192,3.24154,3.2466,3.21846,3.22209,3.24371,3.24822,3.222,55028
2016-03-17 12:00:00,2016-03-17 16:00:00,3.22383,3.24668,3.24983,3.2211,3.22559,3.24895,3.25207,3.22291,36307
2016-03-17 16:00:00,2016-03-17 20:00:00,3.22059,3.22202,3.22624,3.21676,3.22394,3.22475,3.22922,3.21935,10856
2016-03-17 20:00:00,2016-03-18 00:00:00,3.21157,3.22084,3.22084,3.20834,3.22012,3.22466,3.22728,3.21692,7231
2016-03-18 00:00:00,2016-03-18 04:00:00,3.21912,3.22011,3.22325,3.21642,3.22255,3.22611,3.228,3.22133,13676
2016-03-18 04:00:00,2016-03-18 08:00:00,3.21955,3.22505,3.23085,3.21812,3.22405,3.227,3.2334,3.2207,26131
2016-03-18 08:00:00,2016-03-18 12:00:00,3.2217,3.2259,3.22802,3.21653,3.22306,3.22758,3.22973,3.21837,17951
2016-03-18 12:00:00,2016-03-18 16:00:00,3.21802,3.23098,3.23622,3.2168,3.21978,3.23235,3.23827,3.21829,29999
2016-03-18 16:00:00,2016-03-18 20:00:00,3.227,3.23121,3.2348,3.22392,3.22913,3.2395,3.24169,3.22798,15322
