open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2011-09-12 23:00:00,2011-09-13 03:00:00,1.36361,1.36858,1.36883,1.36203,1.36377,1.36871,1.36896,1.36218,18070
2011-09-13 03:00:00,2011-09-13 07:00:00,1.36535,1.36782,1.36948,1.35772,1.36547,1.36799,1.36964,1.35789,30592
2011-09-13 07:00:00,2011-09-13 11:00:00,1.35839,1.36647,1.37097,1.3557,1.35855,1.36662,1.3711,1.35587,52495
2011-09-13 11:00:00,2011-09-13 15:00:00,1.3659,1.36994,1.37254,1.3623,1.36606,1.37009,1.37267,1.36242,52207
2011-09-13 15:00:00,2011-09-13 19:00:00,1.36784,1.37182,1.37383,1.36715,1.36801,1.37195,1.37399,1.36729,26328
2011-09-13 19:00:00,2011-09-13 23:00:00,1.36771,1.36835,1.36927,1.36693,1.36788,1.36851,1.36943,1.36708,8910
2011-09-13 23:00:00,2011-09-14 03:00:00,1.36485,1.36935,1.37054,1.36213,1.36501,1.3695,1.37068,1.36228,22781
2011-09-14 03:00:00,2011-09-14 07:00:00,1.36251,1.36565,1.36734,1.35906,1.36267,1.36579,1.36747,1.35916,40958
2011-09-14 07:00:00,2011-09-14 11:00:00,1.36565,1.37308,1.37417,1.36347,1.36579,1.37322,1.37433,1.36363,41924
2011-09-14 11:00:00,2011-09-14 15:00:00,1.36723,1.37092,1.37472,1.36353,1.36737,1.37108,1.37487,1.3637,46905
2011-09-14 15:00:00,2011-09-14 19:00:00,1.37092,1.37512,1.37827,1.37002,1.37108,1.37529,1.37843,1.37018,24250
2011-09-14 19:00:00,2011-09-14 23:00:00,1.37399,1.37534,1.3757,1.37302,1.37411,1.3755,1.37584,1.37329,10361
2011-09-14 23:00:00,2011-09-15 03:00:00,1.37198,1.37397,1.37541,1.37028,1.37212,1.37413,1.37554,1.37044,19477
2011-09-15 03:00:00,2011-09-15 07:00:00,1.3709,1.37672,1.37749,1.37059,1.37107,1.37688,1.37761,1.37075,31487
2011-09-15 07:00:00,2011-09-15 11:00:00,1.37672,1.38128,1.38248,1.37528,1.37688,1.38142,1.38261,1.37544,32890
2011-09-15 11:00:00,2011-09-15 15:00:00,1.37723,1.38863,1.39362,1.37706,1.37739,1.38876,1.39378,1.37723,56787
2011-09-15 15:00:00,2011-09-15 19:00:00,1.38568,1.38887,1.38956,1.38538,1.38584,1.38903,1.3897,1.38553,19000
2011-09-15 19:00:00,2011-09-15 23:00:00,1.38667,1.38815,1.38932,1.38641,1.38684,1.38831,1.38948,1.38657,10527
2011-09-15 23:00:00,2011-09-16 03:00:00,1.38436,1.38618,1.38814,1.38359,1.38449,1.38634,1.38829,1.38375,14617
2011-09-16 03:00:00,2011-09-16 07:00:00,1.38368,1.38598,1.38752,1.37829,1.38385,1.38614,1.38769,1.37846,25298
2011-09-16 07:00:00,2011-09-16 11:00:00,1.37926,1.38084,1.38258,1.37766,1.37939,1.38098,1.38273,1.37782,34616
2011-09-16 11:00:00,2011-09-16 15:00:00,1.37848,1.38269,1.38451,1.37531,1.37861,1.38278,1.38466,1.37545,45999
2011-09-16 15:00:00,2011-09-16 19:00:00,1.37814,1.37962,1.38004,1.37746,1.3783,1.37976,1.38017,1.37762,14595
2011-09-16 19:00:00,2011-09-16 20:00:00,1.37941,1.3784,1.37953,1.37807,1.37952,1.37901,1.3797,1.37825,533
2011-09-16 20:00:00,2011-09-19 01:00:00,1.36677,1.37015,1.37064,1.36521,1.36721,1.37032,1.37085,1.36537,20495
2011-09-19 01:00:00,2011-09-19 05:00:00,1.36558,1.36663,1.36726,1.36468,1.36573,1.36677,1.36741,1.36479,12946
2011-09-19 05:00:00,2011-09-19 09:00:00,1.36561,1.36875,1.37058,1.36329,1.36577,1.36885,1.37075,1.36346,35213
2011-09-19 09:00:00,2011-09-19 13:00:00,1.36327,1.36617,1.36739,1.35988,1.3634,1.36632,1.36754,1.36003,32737
2011-09-19 13:00:00,2011-09-19 17:00:00,1.36017,1.36481,1.36537,1.35856,1.36033,1.36497,1.36549,1.35872,29716
2011-09-19 17:00:00,2011-09-19 21:00:00,1.36481,1.36869,1.37203,1.36437,1.36497,1.36884,1.37219,1.36453,17250
2011-09-19 21:00:00,2011-09-20 01:00:00,1.36004,1.3638,1.36819,1.35988,1.36035,1.36393,1.36834,1.36,22716
2011-09-20 01:00:00,2011-09-20 05:00:00,1.36079,1.36137,1.3638,1.35927,1.36094,1.36152,1.36393,1.35941,21599
2011-09-20 05:00:00,2011-09-20 09:00:00,1.36131,1.37097,1.37166,1.35977,1.36147,1.37112,1.3718,1.35993,40820
2011-09-20 09:00:00,2011-09-20 13:00:00,1.36894,1.37098,1.37439,1.36588,1.36906,1.37113,1.37457,1.36602,45094
2011-09-20 13:00:00,2011-09-20 17:00:00,1.36757,1.37115,1.37201,1.36457,1.36772,1.3713,1.37218,1.3647,33738
2011-09-20 17:00:00,2011-09-20 21:00:00,1.36697,1.37011,1.37096,1.36596,1.36715,1.37028,1.37119,1.36611,16485
2011-09-20 21:00:00,2011-09-21 01:00:00,1.36909,1.37139,1.37229,1.36781,1.36924,1.37151,1.37242,1.36795,15637
