open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2014-03-03 06:59:00,2014-03-03 07:00:00,3128,3092,3092,3091,3130,3094,3094,3093,3
2014-03-03 07:00:00,2014-03-03 07:01:00,3092,3093,3095,3093,3094,3095,3097,3095,25
2014-03-03 07:01:00,2014-03-03 07:02:00,3093,3098,3099,3093,3095,3100,3101,3095,32
2014-03-03 07:02:00,2014-03-03 07:03:00,3098,3095,3099,3095,3100,3097,3101,3097,25
2014-03-03 07:03:00,2014-03-03 07:04:00,3095,3093,3096,3093,3097,3095,3098,3095,13
2014-03-03 07:04:00,2014-03-03 07:05:00,3093,3092,3094,3092,3095,3094,3096,3094,11
2014-03-03 07:05:00,2014-03-03 07:06:00,3092,3091,3092,3089,3094,3093,3094,3091,11
2014-03-03 07:06:00,2014-03-03 07:07:00,3091,3092,3093,3090,3093,3094,3095,3092,15
2014-03-03 07:07:00,2014-03-03 07:32:00,3093,3094,3094,3093,3095,3096,3096,3095,9
2014-03-03 07:32:00,2014-03-03 07:36:00,3094,3094,3094,3093,3096,3096,3096,3095,10
2014-03-03 07:36:00,2014-03-03 07:49:00,3091,3089,3091,3088,3093,3091,3093,3090,12
2014-03-03 07:49:00,2014-03-03 07:50:00,3089,3086,3089,3086,3091,3088,3091,3088,13
2014-03-03 07:50:00,2014-03-03 07:51:00,3086,3085,3086,3084,3088,3087,3088,3086,17
2014-03-03 07:51:00,2014-03-03 07:53:00,3083,3083,3084,3081,3085,3085,3086,3083,20
2014-03-03 07:53:00,2014-03-03 07:54:00,3083,3083,3083,3081,3085,3085,3085,3083,10
2014-03-03 07:54:00,2014-03-03 07:55:00,3083,3085,3085,3082,3085,3087,3087,3084,12
2014-03-03 07:55:00,2014-03-03 07:56:00,3085,3084,3085,3084,3087,3086,3087,3086,11
2014-03-03 07:56:00,2014-03-03 08:00:00,3085,3084,3087,3083,3087,3086,3089,3085,42
2014-03-03 08:00:00,2014-03-03 08:01:00,3084,3082,3084,3081,3086,3084,3086,3083,36
2014-03-03 08:01:00,2014-03-03 08:02:00,3082,3078,3081,3076,3084,3080,3083,3078,44
2014-03-03 08:02:00,2014-03-03 08:03:00,3078,3080,3080,3077,3080,3082,3082,3079,38
2014-03-03 08:03:00,2014-03-03 08:04:00,3080,3079,3081,3079,3082,3081,3083,3081,25
2014-03-03 08:04:00,2014-03-03 08:05:00,3079,3085,3085,3079,3081,3087,3087,3081,22
2014-03-03 08:05:00,2014-03-03 08:06:00,3085,3084,3087,3083,3087,3086,3089,3085,13
2014-03-03 08:06:00,2014-03-03 08:07:00,3084,3085,3086,3085,3086,3087,3088,3087,17
2014-03-03 08:07:00,2014-03-03 08:08:00,3085,3083,3085,3082,3087,3085,3087,3084,16
2014-03-03 08:08:00,2014-03-03 08:09:00,3083,3083,3085,3082,3085,3085,3087,3084,10
2014-03-03 08:09:00,2014-03-03 08:10:00,3083,3082,3085,3081,3085,3084,3087,3083,15
2014-03-03 08:10:00,2014-03-03 08:13:00,3083,3086,3086,3082,3085,3088,3088,3084,35
2014-03-03 08:13:00,2014-03-03 08:15:00,3088,3085,3087,3084,3090,3087,3089,3086,24
2014-03-03 08:15:00,2014-03-03 08:16:00,3085,3086,3087,3085,3087,3088,3089,3087,11
2014-03-03 08:16:00,2014-03-03 08:17:00,3086,3085,3087,3085,3088,3087,3089,3087,27
2014-03-03 08:17:00,2014-03-03 08:19:00,3084,3084,3086,3083,3086,3086,3088,3085,18
2014-03-03 08:19:00,2014-03-03 08:20:00,3084,3084,3085,3082,3086,3086,3087,3084,16
2014-03-03 08:20:00,2014-03-03 08:24:00,3084,3085,3086,3084,3086,3087,3088,3086,19
2014-03-03 08:24:00,2014-03-03 08:26:00,3084,3083,3085,3082,3086,3085,3087,3084,9
2014-03-03 08:26:00,2014-03-03 08:27:00,3083,3081,3083,3080,3085,3083,3085,3082,28
2014-03-03 08:27:00,2014-03-03 08:30:00,3082,3083,3083,3081,3084,3085,3085,3083,13
2014-03-03 08:30:00,2014-03-03 08:39:00,3086,3088,3088,3086,3088,3090,3090,3088,16
2014-03-03 08:39:00,2014-03-03 08:42:00,3089,3088,3089,3087,3091,3090,3091,3089,19
2014-03-03 08:42:00,2014-03-03 08:48:00,3088,3091,3091,3089,3090,3093,3093,3091,5
2014-03-03 08:48:00,2014-03-03 08:49:00,3091,3092,3093,3092,3093,3094,3095,3094,15
2014-03-03 08:49:00,2014-03-03 08:50:00,3092,3093,3094,3093,3094,3095,3096,3095,19
2014-03-03 08:50:00,2014-03-03 08:53:00,3095,3098,3098,3095,3097,3100,3100,3097,6
2014-03-03 08:53:00,2014-03-03 08:54:00,3098,3099,3101,3098,3100,3101,3103,3100,15
2014-03-03 08:54:00,2014-03-03 08:58:00,3099,3099,3099,3098,3101,3101,3101,3100,12
2014-03-03 08:58:00,2014-03-03 09:00:00,3098,3097,3098,3097,3100,3099,3100,3099,17
2014-03-03 09:00:00,2014-03-03 09:02:00,3098,3099,3099,3096,3100,3101,3101,3098,11
2014-03-03 09:02:00,2014-03-03 09:10:00,3097,3093,3096,3093,3099,3095,3098,3095,10
2014-03-03 09:10:00,2014-03-03 09:11:00,3093,3091,3092,3089,3095,3093,3094,3091,20
2014-03-03 09:11:00,2014-03-03 09:12:00,3091,3092,3092,3089,3093,3094,3094,3091,17
2014-03-03 09:12:00,2014-03-03 09:19:00,3092,3095,3095,3093,3094,3097,3097,3095,9
2014-03-03 09:19:00,2014-03-03 09:37:00,3094,3091,3094,3091,3096,3093,3096,3093,9
2014-03-03 09:37:00,2014-03-03 09:38:00,3091,3090,3090,3088,3093,3092,3092,3090,17
2014-03-03 09:38:00,2014-03-03 09:40:00,3088,3085,3087,3085,3090,3087,3089,3087,23
2014-03-03 09:40:00,2014-03-03 09:41:00,3085,3084,3086,3083,3087,3086,3088,3085,11
2014-03-03 09:41:00,2014-03-03 10:05:00,3086,3084,3086,3083,3088,3086,3088,3085,6
2014-03-03 10:05:00,2014-03-03 10:26:00,3087,3085,3086,3085,3089,3087,3088,3087,12
2014-03-03 10:26:00,2014-03-03 10:29:00,3084,3084,3085,3084,3086,3086,3087,3086,12
2014-03-03 10:29:00,2014-03-03 10:59:00,3077,3075,3076,3075,3079,3077,3078,3077,10
2014-03-03 10:59:00,2014-03-03 11:00:00,3075,3072,3077,3072,3077,3074,3079,3074,15
2014-03-03 11:00:00,2014-03-03 11:04:00,3071,3070,3071,3070,3073,3072,3073,3072,13
2014-03-03 11:04:00,2014-03-03 11:05:00,3070,3067,3071,3067,3072,3069,3073,3069,5
2014-03-03 11:05:00,2014-03-03 11:28:00,3068,3067,3069,3066,3070,3069,3071,3068,5
