open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2011-01-06 06:00:00,2011-01-06 10:00:00,3907,3934,3935,3905,3908,3935,3936,3906,327
2011-01-06 10:00:00,2011-01-06 14:00:00,3930,3937,3943,3921,3931,3938,3944,3922,210
2011-01-06 14:00:00,2011-01-06 18:00:00,3890,3916,3934,3882,3892,3917,3935,3884,459
2011-01-06 18:00:00,2011-01-06 20:00:00,3889,3896,3899,3886,3891,3899,3901,3888,67
2011-01-06 20:00:00,2011-01-07 11:00:00,3877,3893,3912,3863,3878,3894,3913,3864,466
2011-01-07 11:00:00,2011-01-07 15:00:00,3876,3884,3901,3858,3877,3885,3902,3860,421
2011-01-07 15:00:00,2011-01-07 19:00:00,3849,3863,3874,3840,3851,3865,3875,3842,305
2011-01-07 19:00:00,2011-01-07 20:00:00,3859,3863,3865,3856,3861,3865,3867,3858,34
2011-01-07 20:00:00,2011-01-10 11:00:00,3803,3817,3846,3793,3804,3818,3847,3794,474
2011-01-10 11:00:00,2011-01-10 15:00:00,3789,3809,3814,3787,3790,3810,3815,3788,295
2011-01-10 15:00:00,2011-01-10 19:00:00,3803,3818,3818,3798,3804,3820,3820,3799,169
2011-01-10 19:00:00,2011-01-10 21:00:00,3815,3815,3822,3813,3817,3817,3824,3815,38
2011-01-10 21:00:00,2011-01-11 10:00:00,3810,3829,3829,3807,3811,3830,3830,3808,474
2011-01-11 10:00:00,2011-01-11 14:00:00,3829,3841,3847,3827,3830,3842,3848,3828,174
2011-01-11 14:00:00,2011-01-11 18:00:00,3838,3856,3865,3837,3839,3858,3866,3838,315
2011-01-11 18:00:00,2011-01-11 20:00:00,3845,3855,3858,3840,3847,3857,3860,3842,128
2011-01-11 20:00:00,2011-01-12 11:00:00,3865,3919,3922,3864,3867,3920,3923,3865,489
2011-01-12 11:00:00,2011-01-12 15:00:00,3907,3934,3936,3907,3908,3935,3937,3908,246
2011-01-12 15:00:00,2011-01-12 19:00:00,3934,3946,3952,3934,3935,3948,3954,3935,185
2011-01-12 19:00:00,2011-01-12 20:00:00,3944,3947,3947,3936,3946,3949,3949,3938,7
2011-01-12 20:00:00,2011-01-13 10:00:00,3946,3959,3964,3942,3947,3960,3965,3943,472
2011-01-13 10:00:00,2011-01-13 14:00:00,3946,3966,3974,3945,3947,3967,3975,3946,358
2011-01-13 14:00:00,2011-01-13 18:00:00,3960,3968,3977,3949,3961,3970,3978,3950,322
2011-01-13 18:00:00,2011-01-13 20:00:00,3955,3955,3964,3949,3957,3957,3966,3951,64
2011-01-13 20:00:00,2011-01-14 11:00:00,3959,3965,3976,3955,3960,3966,3977,3956,496
2011-01-14 11:00:00,2011-01-14 15:00:00,3959,3984,3985,3951,3960,3985,3986,3952,355
2011-01-14 15:00:00,2011-01-14 19:00:00,3980,4000,4004,3977,3982,4002,4006,3978,215
2011-01-14 19:00:00,2011-01-14 20:00:00,3996,4003,4004,3996,3998,4005,4006,3998,22
