open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2014-01-09 23:00:00,2014-01-10 03:00:00,1.99661,1.99957,2.00116,1.99598,1.99733,2.00007,2.00168,1.99644,7799
2014-01-10 03:00:00,2014-01-10 07:00:00,1.99762,1.99901,2.0007,1.99756,1.99812,1.99959,2.00114,1.99805,5180
2014-01-10 07:00:00,2014-01-10 11:00:00,1.9929,2.00017,2.00087,1.9909,1.99336,2.00065,2.00136,1.99208,11452
2014-01-10 11:00:00,2014-01-10 15:00:00,1.99135,2.00058,2.00261,1.98647,1.99207,2.00107,2.00304,1.98757,37248
2014-01-10 15:00:00,2014-01-10 19:00:00,1.98565,1.98616,1.9896,1.98401,1.98613,1.98664,1.99009,1.98442,11590
2014-01-10 19:00:00,2014-01-10 21:00:00,1.9844,1.98583,1.98683,1.98342,1.98489,1.98665,1.98788,1.98391,2767
2014-01-10 21:00:00,2014-01-12 23:00:00,1.98593,1.98848,1.98955,1.98277,1.98763,1.98982,1.99058,1.98439,2895
2014-01-12 23:00:00,2014-01-13 03:00:00,1.9818,1.9896,1.99011,1.97902,1.98236,1.99009,1.9906,1.97951,10166
2014-01-13 03:00:00,2014-01-13 07:00:00,1.97991,1.9811,1.98215,1.97863,1.98039,1.98159,1.98255,1.97905,8316
2014-01-13 07:00:00,2014-01-13 11:00:00,1.96805,1.97317,1.98025,1.96258,1.96861,1.97364,1.98068,1.96301,16766
2014-01-13 11:00:00,2014-01-13 15:00:00,1.95418,1.96596,1.96732,1.95141,1.95466,1.96644,1.9677,1.95192,20152
2014-01-13 15:00:00,2014-01-13 19:00:00,1.95321,1.95821,1.95973,1.95283,1.95359,1.95869,1.96012,1.95325,12806
2014-01-13 19:00:00,2014-01-13 23:00:00,1.95509,1.95767,1.95804,1.95319,1.95589,1.95795,1.95851,1.95359,8243
2014-01-13 23:00:00,2014-01-14 03:00:00,1.95659,1.96014,1.96119,1.95428,1.9569,1.96061,1.9616,1.95465,7692
2014-01-14 03:00:00,2014-01-14 07:00:00,1.95317,1.95637,1.95783,1.95305,1.95361,1.95679,1.95828,1.95353,8351
2014-01-14 07:00:00,2014-01-14 11:00:00,1.95213,1.95718,1.96079,1.94532,1.95257,1.95782,1.96172,1.94608,22569
2014-01-14 11:00:00,2014-01-14 15:00:00,1.95059,1.95504,1.9576,1.94972,1.95106,1.95546,1.95808,1.95014,20693
2014-01-14 15:00:00,2014-01-14 19:00:00,1.95504,1.96196,1.96312,1.95486,1.95546,1.96234,1.96348,1.95523,13716
2014-01-14 19:00:00,2014-01-14 23:00:00,1.96144,1.9649,1.96545,1.95893,1.96234,1.96595,1.96622,1.96101,7602
2014-01-14 23:00:00,2014-01-15 03:00:00,1.96271,1.96866,1.96968,1.96158,1.9632,1.96914,1.97012,1.96202,9337
2014-01-15 03:00:00,2014-01-15 07:00:00,1.968,1.96894,1.96955,1.9651,1.96848,1.96941,1.97003,1.96542,8561
2014-01-15 07:00:00,2014-01-15 11:00:00,1.96333,1.96552,1.9677,1.96028,1.96381,1.96594,1.96803,1.96069,14301
2014-01-15 11:00:00,2014-01-15 15:00:00,1.95737,1.96214,1.96402,1.95353,1.95779,1.96259,1.96445,1.95401,21890
2014-01-15 15:00:00,2014-01-15 19:00:00,1.9582,1.96394,1.96535,1.95636,1.95866,1.96438,1.96584,1.95685,13594
2014-01-15 19:00:00,2014-01-15 23:00:00,1.96284,1.96416,1.96556,1.96129,1.96376,1.96523,1.96636,1.96203,7318
2014-01-15 23:00:00,2014-01-16 03:00:00,1.96358,1.96767,1.96905,1.96187,1.96406,1.96828,1.96951,1.96257,14362
2014-01-16 03:00:00,2014-01-16 07:00:00,1.96515,1.96535,1.96616,1.96293,1.96563,1.96584,1.96663,1.96341,7744
2014-01-16 07:00:00,2014-01-16 11:00:00,1.96432,1.96693,1.96821,1.96262,1.96472,1.9673,1.96862,1.9631,18881
2014-01-16 11:00:00,2014-01-16 15:00:00,1.96605,1.96777,1.96991,1.96029,1.96654,1.96926,1.97034,1.96077,26763
2014-01-16 15:00:00,2014-01-16 19:00:00,1.95812,1.96296,1.9641,1.95591,1.95861,1.96344,1.96455,1.95639,13751
2014-01-16 19:00:00,2014-01-16 23:00:00,1.95661,1.95841,1.96649,1.95599,1.95735,1.95902,1.96864,1.95664,8722
2014-01-16 23:00:00,2014-01-17 03:00:00,1.95808,1.96871,1.9703,1.95591,1.95876,1.9692,1.97076,1.9564,8999
2014-01-17 03:00:00,2014-01-17 07:00:00,1.96599,1.96842,1.97032,1.96538,1.96648,1.9689,1.97078,1.96586,7722
2014-01-17 07:00:00,2014-01-17 11:00:00,1.96842,1.9906,1.99294,1.96636,1.9689,1.99106,1.99343,1.96685,19515
2014-01-17 11:00:00,2014-01-17 15:00:00,1.98707,1.99099,1.99139,1.9858,1.98755,1.99142,1.99188,1.98626,19599
2014-01-17 15:00:00,2014-01-17 19:00:00,1.98675,1.98941,1.99148,1.9863,1.98724,1.98982,1.99189,1.98675,13465
2014-01-17 19:00:00,2014-01-17 21:00:00,1.98683,1.98721,1.98913,1.9842,1.98752,1.98956,1.99003,1.98636,3416
