open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2016-02-29 06:00:00,2016-02-29 10:00:00,9346,9429,9483,9331,9348,9430,9484,9332,14920
2016-02-29 10:00:00,2016-02-29 14:00:00,9351,9449,9469,9345,9352,9450,9470,9347,9307
2016-02-29 14:00:00,2016-02-29 18:00:00,9413,9487,9508,9395,9414,9488,9509,9396,9527
2016-02-29 18:00:00,2016-02-29 22:00:00,9411,9418,9463,9395,9412,9419,9464,9396,3049
2016-02-29 22:00:00,2016-03-01 11:00:00,9490,9641,9676,9468,9492,9642,9677,9469,13914
2016-03-01 11:00:00,2016-03-01 15:00:00,9632,9686,9711,9607,9633,9687,9712,9608,10476
2016-03-01 15:00:00,2016-03-01 19:00:00,9686,9764,9767,9679,9687,9765,9768,9680,6270
2016-03-01 19:00:00,2016-03-01 22:00:00,9764,9768,9778,9750,9765,9770,9779,9751,1070
2016-03-01 22:00:00,2016-03-02 11:00:00,9718,9826,9838,9712,9719,9827,9839,9714,11892
2016-03-02 11:00:00,2016-03-02 15:00:00,9704,9756,9777,9694,9705,9757,9778,9695,11458
2016-03-02 15:00:00,2016-03-02 19:00:00,9748,9768,9790,9739,9749,9769,9791,9741,6206
2016-03-02 19:00:00,2016-03-02 22:00:00,9768,9777,9782,9756,9769,9783,9783,9757,1051
2016-03-02 22:00:00,2016-03-03 11:00:00,9746,9787,9812,9722,9747,9788,9814,9723,9473
2016-03-03 11:00:00,2016-03-03 15:00:00,9736,9767,9775,9708,9737,9768,9776,9709,8829
2016-03-03 15:00:00,2016-03-03 19:00:00,9750,9781,9786,9727,9751,9782,9788,9728,5902
2016-03-03 19:00:00,2016-03-03 22:00:00,9781,9787,9790,9772,9782,9792,9792,9773,1016
2016-03-03 22:00:00,2016-03-04 11:00:00,9766,9849,9849,9744,9767,9850,9851,9746,9178
2016-03-04 11:00:00,2016-03-04 15:00:00,9767,9861,9901,9740,9768,9862,9902,9741,16335
2016-03-04 15:00:00,2016-03-04 19:00:00,9822,9855,9860,9794,9823,9856,9861,9795,6374
2016-03-04 19:00:00,2016-03-04 22:00:00,9787,9787,9825,9787,9790,9790,9826,9788,1614
2016-03-04 22:00:00,2016-03-07 10:00:00,9719,9774,9810,9688,9720,9776,9811,9689,10492
2016-03-07 10:00:00,2016-03-07 14:00:00,9713,9740,9751,9710,9714,9741,9753,9711,6861
2016-03-07 14:00:00,2016-03-07 18:00:00,9722,9790,9811,9716,9723,9791,9812,9717,8327
2016-03-07 18:00:00,2016-03-07 22:00:00,9748,9771,9787,9734,9749,9777,9788,9735,2504
2016-03-07 22:00:00,2016-03-08 11:00:00,9637,9669,9710,9615,9638,9670,9712,9616,9924
2016-03-08 11:00:00,2016-03-08 15:00:00,9669,9761,9789,9647,9670,9762,9790,9648,14229
2016-03-08 15:00:00,2016-03-08 19:00:00,9654,9720,9734,9651,9655,9721,9735,9652,7246
2016-03-08 19:00:00,2016-03-08 22:00:00,9677,9677,9711,9674,9682,9682,9713,9675,1537
