open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2010-08-09 00:00:00,2010-08-09 04:00:00,21637,21702,21753,21622,21662,21717,21768,21637,5085
2010-08-09 04:00:00,2010-08-09 08:00:00,21675,21794,21804,21675,21705,21814,21819,21705,3216
2010-08-09 08:00:00,2010-08-10 06:00:00,21582,21652,21752,21529,21597,21667,21767,21544,5244
2010-08-10 06:00:00,2010-08-10 08:00:00,21476,21476,21570,21455,21491,21491,21585,21470,2119
2010-08-10 08:00:00,2010-08-11 06:00:00,21416,21526,21668,21315,21431,21541,21683,21330,5946
2010-08-11 06:00:00,2010-08-11 08:00:00,21287,21303,21397,21218,21302,21337,21412,21237,2320
2010-08-11 08:00:00,2010-08-12 06:00:00,20932,21002,21090,20873,20947,21017,21113,20888,5818
2010-08-12 06:00:00,2010-08-12 08:00:00,20882,21048,21069,20882,20897,21063,21084,20897,2219
2010-08-12 08:00:00,2010-08-13 06:00:00,21007,21101,21157,20956,21022,21116,21172,20971,5814
2010-08-13 06:00:00,2010-08-13 08:00:00,21023,21043,21126,20997,21038,21058,21141,21012,2442
2010-08-13 08:00:00,2010-08-16 06:00:00,20959,21133,21205,20929,20974,21148,21220,20944,6023
2010-08-16 06:00:00,2010-08-16 08:00:00,21052,21052,21192,20995,21067,21067,21207,21010,2560
2010-08-16 08:00:00,2010-08-17 06:00:00,21035,21086,21110,20961,21051,21101,21125,20976,5702
2010-08-17 06:00:00,2010-08-17 08:00:00,21086,21125,21145,21049,21101,21140,21160,21064,2309
