open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2010-03-12 01:44:00,2010-03-12 01:45:00,21151,21238,21267,21151,21171,21258,21287,21171,51
2010-03-12 01:45:00,2010-03-12 01:46:00,21238,21230,21241,21216,21258,21250,21261,21236,42
2010-03-12 01:46:00,2010-03-12 01:47:00,21230,21227,21241,21225,21250,21247,21261,21245,36
2010-03-12 01:47:00,2010-03-12 01:48:00,21227,21210,21227,21205,21247,21230,21247,21225,42
2010-03-12 01:48:00,2010-03-12 01:49:00,21210,21203,21214,21194,21230,21223,21234,21214,45
2010-03-12 01:49:00,2010-03-12 01:50:00,21203,21200,21209,21191,21223,21220,21229,21211,43
2010-03-12 01:50:00,2010-03-12 01:51:00,21200,21203,21203,21193,21220,21223,21223,21213,36
2010-03-12 01:51:00,2010-03-12 01:52:00,21203,21216,21219,21203,21223,21236,21239,21223,31
2010-03-12 01:52:00,2010-03-12 01:53:00,21216,21211,21216,21210,21236,21231,21236,21230,34
2010-03-12 01:53:00,2010-03-12 01:54:00,21211,21208,21212,21204,21231,21228,21232,21224,34
2010-03-12 01:54:00,2010-03-12 01:55:00,21208,21209,21210,21206,21228,21229,21230,21226,24
2010-03-12 01:55:00,2010-03-12 01:56:00,21209,21206,21209,21203,21229,21226,21229,21223,28
2010-03-12 01:56:00,2010-03-12 01:57:00,21206,21199,21208,21194,21226,21219,21228,21214,30
2010-03-12 01:57:00,2010-03-12 01:58:00,21199,21186,21199,21182,21219,21206,21219,21202,41
2010-03-12 01:58:00,2010-03-12 01:59:00,21186,21186,21188,21181,21206,21206,21208,21201,40
2010-03-12 01:59:00,2010-03-12 02:00:00,21186,21179,21186,21155,21206,21199,21206,21175,50
2010-03-12 02:00:00,2010-03-12 02:01:00,21179,21190,21198,21174,21199,21210,21218,21194,52
2010-03-12 02:01:00,2010-03-12 02:02:00,21190,21166,21190,21166,21210,21186,21210,21186,39
2010-03-12 02:02:00,2010-03-12 02:03:00,21166,21162,21170,21162,21186,21182,21190,21182,46
2010-03-12 02:03:00,2010-03-12 02:04:00,21162,21175,21175,21153,21182,21195,21195,21173,44
2010-03-12 02:04:00,2010-03-12 02:05:00,21175,21141,21177,21137,21195,21161,21197,21157,44
2010-03-12 02:05:00,2010-03-12 02:06:00,21141,21164,21166,21137,21161,21184,21186,21157,41
2010-03-12 02:06:00,2010-03-12 02:07:00,21164,21168,21169,21158,21184,21188,21189,21178,38
2010-03-12 02:07:00,2010-03-12 02:08:00,21168,21182,21186,21167,21188,21202,21206,21187,50
2010-03-12 02:08:00,2010-03-12 02:09:00,21182,21184,21185,21170,21202,21204,21205,21190,44
2010-03-12 02:09:00,2010-03-12 02:10:00,21184,21174,21186,21172,21204,21194,21206,21192,37
2010-03-12 02:10:00,2010-03-12 02:11:00,21174,21181,21184,21174,21194,21201,21204,21194,31
2010-03-12 02:11:00,2010-03-12 02:12:00,21181,21169,21184,21161,21201,21189,21204,21181,42
2010-03-12 02:12:00,2010-03-12 02:13:00,21169,21170,21176,21167,21189,21190,21196,21187,39
2010-03-12 02:13:00,2010-03-12 02:14:00,21170,21169,21170,21163,21190,21189,21190,21183,31
2010-03-12 02:14:00,2010-03-12 02:15:00,21169,21177,21179,21164,21189,21197,21199,21184,37
2010-03-12 02:15:00,2010-03-12 02:16:00,21177,21171,21179,21168,21197,21191,21199,21188,29
2010-03-12 02:16:00,2010-03-12 02:17:00,21171,21156,21172,21149,21191,21176,21192,21169,39
2010-03-12 02:17:00,2010-03-12 02:18:00,21156,21169,21169,21153,21176,21189,21189,21173,36
2010-03-12 02:18:00,2010-03-12 02:19:00,21169,21163,21170,21163,21189,21183,21190,21183,29
2010-03-12 02:19:00,2010-03-12 02:20:00,21163,21172,21179,21163,21183,21192,21199,21183,38
2010-03-12 02:20:00,2010-03-12 02:21:00,21172,21158,21172,21158,21192,21178,21192,21178,30
2010-03-12 02:21:00,2010-03-12 02:22:00,21158,21170,21175,21156,21178,21190,21195,21176,34
2010-03-12 02:22:00,2010-03-12 02:23:00,21170,21163,21175,21158,21190,21183,21195,21178,37
2010-03-12 02:23:00,2010-03-12 02:24:00,21163,21175,21175,21160,21183,21195,21195,21180,35
2010-03-12 02:24:00,2010-03-12 02:25:00,21175,21184,21185,21168,21195,21204,21205,21188,33
2010-03-12 02:25:00,2010-03-12 02:26:00,21184,21199,21212,21182,21204,21219,21232,21202,47
2010-03-12 02:26:00,2010-03-12 02:27:00,21199,21198,21201,21193,21219,21218,21221,21213,33
2010-03-12 02:27:00,2010-03-12 02:28:00,21198,21200,21202,21195,21218,21220,21222,21215,35
2010-03-12 02:28:00,2010-03-12 02:29:00,21200,21199,21207,21197,21220,21219,21227,21217,33
2010-03-12 02:29:00,2010-03-12 02:30:00,21199,21192,21201,21189,21219,21212,21221,21209,32
2010-03-12 02:30:00,2010-03-12 02:31:00,21192,21190,21192,21188,21212,21210,21212,21208,27
2010-03-12 02:31:00,2010-03-12 02:32:00,21190,21198,21204,21190,21210,21218,21224,21210,30
2010-03-12 02:32:00,2010-03-12 02:33:00,21198,21204,21208,21197,21218,21224,21228,21217,33
2010-03-12 02:33:00,2010-03-12 02:34:00,21204,21201,21207,21200,21224,21221,21227,21220,31
2010-03-12 02:34:00,2010-03-12 02:35:00,21201,21196,21202,21194,21221,21216,21222,21214,35
2010-03-12 02:35:00,2010-03-12 02:36:00,21196,21204,21208,21194,21216,21224,21228,21214,30
2010-03-12 02:36:00,2010-03-12 02:37:00,21204,21214,21217,21204,21224,21234,21237,21224,46
2010-03-12 02:37:00,2010-03-12 02:38:00,21214,21213,21216,21208,21234,21233,21236,21228,20
2010-03-12 02:38:00,2010-03-12 02:39:00,21213,21215,21218,21212,21233,21235,21238,21232,30
2010-03-12 02:39:00,2010-03-12 02:40:00,21215,21220,21221,21215,21235,21240,21241,21235,31
2010-03-12 02:40:00,2010-03-12 02:41:00,21220,21211,21220,21210,21240,21231,21240,21230,29
2010-03-12 02:41:00,2010-03-12 02:42:00,21211,21217,21220,21211,21231,21237,21240,21231,25
2010-03-12 02:42:00,2010-03-12 02:43:00,21217,21223,21231,21217,21237,21243,21251,21237,38
2010-03-12 02:43:00,2010-03-12 02:44:00,21223,21222,21225,21220,21243,21242,21245,21240,22
2010-03-12 02:44:00,2010-03-12 02:45:00,21222,21243,21244,21222,21242,21263,21264,21242,41
2010-03-12 02:45:00,2010-03-12 02:46:00,21243,21263,21265,21242,21263,21283,21285,21262,38
2010-03-12 02:46:00,2010-03-12 02:47:00,21263,21251,21263,21248,21283,21271,21283,21268,34
2010-03-12 02:47:00,2010-03-12 02:48:00,21251,21244,21251,21241,21271,21264,21271,21261,31
2010-03-12 02:48:00,2010-03-12 02:49:00,21244,21239,21246,21235,21264,21259,21266,21255,31
2010-03-12 02:49:00,2010-03-12 02:50:00,21239,21234,21239,21233,21259,21254,21259,21253,35
2010-03-12 02:50:00,2010-03-12 02:51:00,21234,21236,21237,21234,21254,21256,21257,21254,22
2010-03-12 02:51:00,2010-03-12 02:52:00,21236,21237,21237,21235,21256,21257,21257,21255,24
2010-03-12 02:52:00,2010-03-12 02:53:00,21237,21235,21240,21235,21257,21255,21260,21255,32
2010-03-12 02:53:00,2010-03-12 02:54:00,21235,21237,21238,21229,21255,21257,21258,21249,41
2010-03-12 02:54:00,2010-03-12 02:55:00,21237,21237,21238,21232,21257,21257,21258,21252,22
2010-03-12 02:55:00,2010-03-12 02:56:00,21237,21238,21239,21232,21257,21258,21259,21252,25
2010-03-12 02:56:00,2010-03-12 02:57:00,21238,21222,21239,21221,21258,21242,21259,21241,41
2010-03-12 02:57:00,2010-03-12 02:58:00,21222,21222,21225,21218,21242,21242,21245,21238,30
2010-03-12 02:58:00,2010-03-12 02:59:00,21222,21227,21230,21216,21242,21247,21250,21236,37
2010-03-12 02:59:00,2010-03-12 03:00:00,21227,21219,21229,21218,21247,21239,21249,21238,35
2010-03-12 03:00:00,2010-03-12 03:01:00,21219,21225,21226,21216,21239,21245,21246,21236,37
2010-03-12 03:01:00,2010-03-12 03:02:00,21225,21227,21229,21224,21245,21247,21249,21244,34
2010-03-12 03:02:00,2010-03-12 03:03:00,21227,21238,21239,21227,21247,21258,21259,21247,23
