open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2010-02-21 23:59:00,2010-02-22 00:00:00,10212,10255,10255,10195,10237,10280,10280,10220,3
2010-02-22 00:00:00,2010-02-22 00:01:00,10255,10332,10337,10255,10280,10357,10362,10280,14
2010-02-22 00:01:00,2010-02-22 00:02:00,10332,10332,10337,10332,10357,10357,10362,10357,8
2010-02-22 00:02:00,2010-02-22 00:04:00,10332,10337,10342,10332,10357,10362,10367,10357,14
2010-02-22 00:04:00,2010-02-22 00:05:00,10337,10342,10347,10337,10362,10367,10372,10362,14
2010-02-22 00:05:00,2010-02-22 00:06:00,10342,10332,10342,10332,10367,10357,10367,10357,4
2010-02-22 00:06:00,2010-02-22 00:08:00,10332,10342,10342,10327,10357,10367,10367,10352,12
2010-02-22 00:08:00,2010-02-22 00:09:00,10342,10342,10352,10342,10367,10367,10377,10367,14
2010-02-22 00:09:00,2010-02-22 00:10:00,10342,10352,10352,10342,10367,10377,10377,10367,4
2010-02-22 00:10:00,2010-02-22 00:11:00,10352,10352,10352,10347,10377,10377,10377,10372,20
2010-02-22 00:11:00,2010-02-22 00:12:00,10352,10352,10352,10342,10377,10377,10377,10367,8
2010-02-22 00:12:00,2010-02-22 00:13:00,10352,10352,10357,10352,10377,10377,10382,10377,4
2010-02-22 00:13:00,2010-02-22 00:14:00,10352,10372,10372,10352,10377,10397,10397,10377,22
2010-02-22 00:14:00,2010-02-22 00:15:00,10372,10392,10392,10367,10397,10417,10417,10392,16
2010-02-22 00:15:00,2010-02-22 00:16:00,10392,10392,10397,10387,10417,10417,10422,10412,8
2010-02-22 00:16:00,2010-02-22 00:17:00,10392,10392,10392,10387,10417,10417,10417,10412,8
2010-02-22 00:17:00,2010-02-22 00:18:00,10392,10382,10392,10382,10417,10407,10417,10407,8
2010-02-22 00:18:00,2010-02-22 00:19:00,10382,10387,10387,10382,10407,10412,10412,10407,14
2010-02-22 00:19:00,2010-02-22 00:20:00,10387,10387,10392,10387,10412,10412,10417,10412,14
2010-02-22 00:20:00,2010-02-22 00:23:00,10382,10387,10387,10382,10407,10412,10412,10407,2
2010-02-22 00:23:00,2010-02-22 00:25:00,10387,10392,10392,10387,10412,10417,10417,10412,10
2010-02-22 00:25:00,2010-02-22 00:26:00,10392,10402,10412,10392,10417,10427,10437,10417,12
2010-02-22 00:26:00,2010-02-22 00:27:00,10402,10392,10402,10387,10427,10417,10427,10412,20
2010-02-22 00:27:00,2010-02-22 00:29:00,10392,10402,10402,10392,10417,10427,10427,10417,12
2010-02-22 00:29:00,2010-02-22 00:30:00,10402,10407,10407,10397,10427,10432,10432,10422,14
2010-02-22 00:30:00,2010-02-22 00:32:00,10402,10407,10412,10402,10427,10432,10437,10427,6
2010-02-22 00:32:00,2010-02-22 00:35:00,10407,10407,10412,10402,10432,10432,10437,10427,8
2010-02-22 00:35:00,2010-02-22 00:37:00,10412,10417,10417,10407,10437,10442,10442,10432,10
2010-02-22 00:37:00,2010-02-22 00:38:00,10417,10407,10417,10402,10442,10432,10442,10427,16
2010-02-22 00:38:00,2010-02-22 00:40:00,10407,10407,10412,10407,10432,10432,10437,10432,4
2010-02-22 00:40:00,2010-02-22 00:41:00,10407,10402,10407,10402,10432,10427,10432,10427,6
2010-02-22 00:41:00,2010-02-22 00:44:00,10397,10397,10397,10392,10422,10422,10422,10417,4
2010-02-22 00:44:00,2010-02-22 00:48:00,10392,10392,10392,10387,10417,10417,10417,10412,4
2010-02-22 00:48:00,2010-02-22 00:50:00,10392,10397,10397,10392,10417,10422,10422,10417,18
2010-02-22 00:50:00,2010-02-22 00:55:00,10397,10392,10397,10392,10422,10417,10422,10417,6
2010-02-22 00:55:00,2010-02-22 01:01:00,10392,10397,10397,10392,10417,10422,10422,10417,6
2010-02-22 01:01:00,2010-02-22 01:06:00,10392,10392,10397,10392,10417,10417,10422,10417,4
2010-02-22 01:06:00,2010-02-22 01:07:00,10392,10397,10397,10392,10417,10422,10422,10417,16
2010-02-22 01:07:00,2010-02-22 01:08:00,10397,10397,10402,10397,10422,10422,10427,10422,4
2010-02-22 01:08:00,2010-02-22 01:20:00,10407,10407,10412,10407,10432,10432,10437,10432,8
