open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2013-10-21 23:00:00,2013-10-22 03:00:00,3.641,3.649,3.652,3.64,3.651,3.659,3.662,3.65,271
2013-10-22 03:00:00,2013-10-22 07:00:00,3.647,3.656,3.658,3.646,3.657,3.666,3.668,3.656,369
2013-10-22 07:00:00,2013-10-22 11:00:00,3.638,3.645,3.655,3.637,3.648,3.655,3.665,3.647,354
2013-10-22 11:00:00,2013-10-22 15:00:00,3.625,3.645,3.664,3.606,3.635,3.655,3.674,3.616,3042
2013-10-22 15:00:00,2013-10-22 19:00:00,3.585,3.594,3.614,3.569,3.595,3.604,3.624,3.579,1942
2013-10-22 19:00:00,2013-10-22 23:00:00,3.581,3.591,3.592,3.574,3.591,3.601,3.602,3.584,428
2013-10-22 23:00:00,2013-10-23 03:00:00,3.577,3.579,3.581,3.572,3.587,3.589,3.591,3.582,235
2013-10-23 03:00:00,2013-10-23 07:00:00,3.576,3.585,3.586,3.572,3.586,3.595,3.596,3.582,346
2013-10-23 07:00:00,2013-10-23 11:00:00,3.585,3.595,3.61,3.583,3.595,3.605,3.62,3.593,851
2013-10-23 11:00:00,2013-10-23 15:00:00,3.595,3.628,3.633,3.592,3.605,3.638,3.643,3.602,2171
2013-10-23 15:00:00,2013-10-23 19:00:00,3.609,3.621,3.634,3.602,3.619,3.631,3.644,3.612,1468
2013-10-23 19:00:00,2013-10-23 23:00:00,3.612,3.617,3.62,3.61,3.622,3.627,3.63,3.62,284
2013-10-23 23:00:00,2013-10-24 03:00:00,3.609,3.62,3.622,3.601,3.619,3.63,3.632,3.611,1270
2013-10-24 03:00:00,2013-10-24 07:00:00,3.602,3.62,3.625,3.601,3.612,3.63,3.635,3.611,780
2013-10-24 07:00:00,2013-10-24 11:00:00,3.579,3.603,3.608,3.57,3.589,3.613,3.618,3.58,852
2013-10-24 11:00:00,2013-10-24 15:00:00,3.575,3.617,3.628,3.541,3.585,3.627,3.638,3.551,3765
2013-10-24 15:00:00,2013-10-24 19:00:00,3.602,3.636,3.64,3.597,3.612,3.646,3.65,3.607,1981
2013-10-24 19:00:00,2013-10-24 23:00:00,3.627,3.63,3.639,3.623,3.637,3.64,3.649,3.633,344
2013-10-24 23:00:00,2013-10-25 03:00:00,3.614,3.626,3.631,3.61,3.624,3.636,3.641,3.62,269
2013-10-25 03:00:00,2013-10-25 07:00:00,3.605,3.612,3.614,3.605,3.615,3.622,3.624,3.615,490
2013-10-25 07:00:00,2013-10-25 11:00:00,3.594,3.64,3.645,3.589,3.604,3.65,3.655,3.599,1014
2013-10-25 11:00:00,2013-10-25 15:00:00,3.64,3.677,3.679,3.632,3.65,3.687,3.689,3.642,2322
2013-10-25 15:00:00,2013-10-25 19:00:00,3.67,3.711,3.72,3.663,3.68,3.721,3.73,3.673,1653
2013-10-25 19:00:00,2013-10-25 20:00:00,3.711,3.723,3.725,3.71,3.721,3.733,3.735,3.72,169
2013-10-25 20:00:00,2013-10-28 02:00:00,3.644,3.667,3.675,3.642,3.654,3.677,3.685,3.652,437
2013-10-28 02:00:00,2013-10-28 06:00:00,3.636,3.643,3.646,3.619,3.646,3.653,3.656,3.629,246
2013-10-28 06:00:00,2013-10-28 10:00:00,3.614,3.623,3.624,3.61,3.624,3.633,3.634,3.62,246
2013-10-28 10:00:00,2013-10-28 14:00:00,3.589,3.621,3.631,3.557,3.599,3.631,3.641,3.567,2142
2013-10-28 14:00:00,2013-10-28 18:00:00,3.571,3.578,3.594,3.552,3.581,3.588,3.604,3.562,2362
2013-10-28 18:00:00,2013-10-28 22:00:00,3.563,3.659,3.662,3.556,3.573,3.669,3.672,3.566,481
2013-10-28 22:00:00,2013-10-29 02:00:00,3.656,3.665,3.667,3.654,3.666,3.675,3.677,3.664,420
2013-10-29 02:00:00,2013-10-29 06:00:00,3.644,3.672,3.672,3.634,3.654,3.682,3.682,3.644,1181
2013-10-29 06:00:00,2013-10-29 10:00:00,3.653,3.666,3.672,3.651,3.663,3.676,3.682,3.661,520
2013-10-29 10:00:00,2013-10-29 14:00:00,3.64,3.664,3.679,3.623,3.65,3.674,3.689,3.633,2129
2013-10-29 14:00:00,2013-10-29 18:00:00,3.623,3.633,3.647,3.606,3.633,3.643,3.657,3.616,2060
2013-10-29 18:00:00,2013-10-29 22:00:00,3.633,3.642,3.643,3.631,3.643,3.652,3.653,3.641,391
2013-10-29 22:00:00,2013-10-30 02:00:00,3.619,3.634,3.637,3.616,3.629,3.644,3.647,3.626,294
2013-10-30 02:00:00,2013-10-30 06:00:00,3.625,3.635,3.637,3.623,3.635,3.645,3.647,3.633,1060
2013-10-30 06:00:00,2013-10-30 10:00:00,3.63,3.636,3.637,3.623,3.64,3.646,3.647,3.633,870
2013-10-30 10:00:00,2013-10-30 14:00:00,3.618,3.644,3.656,3.612,3.628,3.654,3.666,3.622,1655
2013-10-30 14:00:00,2013-10-30 18:00:00,3.622,3.645,3.651,3.606,3.632,3.655,3.661,3.616,3067
2013-10-30 18:00:00,2013-10-30 22:00:00,3.621,3.635,3.635,3.62,3.631,3.645,3.645,3.63,415
2013-10-30 22:00:00,2013-10-31 00:00:00,3.631,3.633,3.642,3.632,3.641,3.643,3.652,3.642,45
