open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2014-11-25 23:59:00,2014-11-26 00:00:00,92.222,92.198,92.222,92.183,92.251,92.224,92.248,92.209,161
2014-11-26 00:00:00,2014-11-26 00:01:00,92.198,92.203,92.222,92.192,92.224,92.228,92.245,92.216,200
2014-11-26 00:01:00,2014-11-26 00:02:00,92.203,92.192,92.207,92.187,92.228,92.219,92.233,92.213,67
2014-11-26 00:02:00,2014-11-26 00:03:00,92.192,92.189,92.196,92.166,92.219,92.215,92.22,92.192,103
2014-11-26 00:03:00,2014-11-26 00:04:00,92.189,92.158,92.192,92.151,92.215,92.181,92.219,92.177,163
2014-11-26 00:04:00,2014-11-26 00:05:00,92.158,92.173,92.186,92.161,92.181,92.198,92.213,92.181,102
2014-11-26 00:05:00,2014-11-26 00:06:00,92.173,92.155,92.185,92.151,92.198,92.181,92.211,92.176,196
2014-11-26 00:06:00,2014-11-26 00:07:00,92.155,92.172,92.177,92.131,92.181,92.2,92.205,92.16,181
2014-11-26 00:07:00,2014-11-26 00:08:00,92.172,92.159,92.171,92.144,92.2,92.181,92.2,92.17,63
2014-11-26 00:08:00,2014-11-26 00:09:00,92.159,92.163,92.172,92.146,92.181,92.19,92.197,92.171,77
2014-11-26 00:09:00,2014-11-26 00:10:00,92.163,92.182,92.203,92.164,92.19,92.209,92.23,92.19,137
2014-11-26 00:10:00,2014-11-26 00:11:00,92.182,92.197,92.197,92.183,92.209,92.224,92.224,92.209,58
2014-11-26 00:11:00,2014-11-26 00:12:00,92.197,92.181,92.197,92.181,92.224,92.207,92.224,92.207,74
2014-11-26 00:12:00,2014-11-26 00:13:00,92.181,92.195,92.195,92.176,92.207,92.22,92.22,92.203,85
2014-11-26 00:13:00,2014-11-26 00:14:00,92.195,92.177,92.201,92.176,92.22,92.204,92.226,92.201,75
2014-11-26 00:14:00,2014-11-26 00:15:00,92.177,92.156,92.185,92.155,92.204,92.181,92.212,92.181,105
2014-11-26 00:15:00,2014-11-26 00:16:00,92.156,92.15,92.158,92.144,92.181,92.173,92.182,92.17,60
2014-11-26 00:16:00,2014-11-26 00:17:00,92.15,92.171,92.174,92.15,92.173,92.198,92.198,92.175,44
2014-11-26 00:17:00,2014-11-26 00:18:00,92.171,92.173,92.174,92.161,92.198,92.2,92.2,92.186,29
2014-11-26 00:18:00,2014-11-26 00:19:00,92.173,92.174,92.181,92.165,92.2,92.201,92.206,92.19,41
2014-11-26 00:19:00,2014-11-26 00:20:00,92.174,92.168,92.176,92.164,92.201,92.192,92.201,92.191,52
2014-11-26 00:20:00,2014-11-26 00:21:00,92.168,92.174,92.179,92.166,92.192,92.2,92.205,92.193,62
2014-11-26 00:21:00,2014-11-26 00:22:00,92.174,92.171,92.179,92.171,92.2,92.197,92.206,92.197,39
2014-11-26 00:22:00,2014-11-26 00:23:00,92.171,92.176,92.179,92.166,92.197,92.202,92.204,92.192,51
2014-11-26 00:23:00,2014-11-26 00:24:00,92.176,92.169,92.183,92.169,92.202,92.195,92.209,92.195,29
2014-11-26 00:24:00,2014-11-26 00:25:00,92.169,92.164,92.177,92.164,92.195,92.189,92.201,92.189,63
2014-11-26 00:25:00,2014-11-26 00:26:00,92.164,92.164,92.166,92.158,92.189,92.19,92.191,92.185,24
2014-11-26 00:26:00,2014-11-26 00:27:00,92.164,92.172,92.172,92.162,92.19,92.197,92.197,92.186,56
2014-11-26 00:27:00,2014-11-26 00:28:00,92.172,92.18,92.188,92.172,92.197,92.206,92.212,92.198,59
2014-11-26 00:28:00,2014-11-26 00:29:00,92.18,92.176,92.183,92.161,92.206,92.198,92.209,92.186,40
2014-11-26 00:29:00,2014-11-26 00:30:00,92.176,92.186,92.192,92.154,92.198,92.213,92.215,92.18,159
2014-11-26 00:30:00,2014-11-26 00:31:00,92.186,92.165,92.187,92.161,92.213,92.183,92.21,92.183,76
2014-11-26 00:31:00,2014-11-26 00:32:00,92.165,92.152,92.168,92.14,92.183,92.17,92.191,92.17,99
2014-11-26 00:32:00,2014-11-26 00:33:00,92.152,92.142,92.152,92.133,92.17,92.167,92.172,92.159,43
2014-11-26 00:33:00,2014-11-26 00:34:00,92.142,92.142,92.146,92.124,92.167,92.163,92.17,92.147,59
2014-11-26 00:34:00,2014-11-26 00:35:00,92.142,92.16,92.167,92.142,92.163,92.186,92.191,92.165,75
2014-11-26 00:35:00,2014-11-26 00:36:00,92.16,92.155,92.164,92.154,92.186,92.178,92.187,92.176,33
2014-11-26 00:36:00,2014-11-26 00:37:00,92.155,92.161,92.161,92.139,92.178,92.184,92.184,92.163,49
2014-11-26 00:37:00,2014-11-26 00:38:00,92.161,92.159,92.172,92.14,92.184,92.183,92.198,92.164,148
2014-11-26 00:38:00,2014-11-26 00:39:00,92.159,92.157,92.162,92.155,92.183,92.18,92.187,92.177,52
2014-11-26 00:39:00,2014-11-26 00:40:00,92.157,92.157,92.162,92.154,92.18,92.182,92.185,92.176,41
2014-11-26 00:40:00,2014-11-26 00:41:00,92.157,92.159,92.165,92.154,92.182,92.185,92.191,92.18,45
2014-11-26 00:41:00,2014-11-26 00:42:00,92.159,92.145,92.164,92.145,92.185,92.17,92.19,92.169,56
2014-11-26 00:42:00,2014-11-26 00:43:00,92.145,92.154,92.154,92.142,92.17,92.18,92.18,92.168,27
2014-11-26 00:43:00,2014-11-26 00:44:00,92.154,92.125,92.154,92.125,92.18,92.15,92.179,92.15,52
2014-11-26 00:44:00,2014-11-26 00:45:00,92.125,92.138,92.138,92.12,92.15,92.163,92.163,92.144,73
2014-11-26 00:45:00,2014-11-26 00:46:00,92.138,92.14,92.14,92.127,92.163,92.161,92.164,92.149,56
2014-11-26 00:46:00,2014-11-26 00:47:00,92.14,92.139,92.151,92.133,92.161,92.164,92.177,92.156,60
2014-11-26 00:47:00,2014-11-26 00:48:00,92.139,92.134,92.138,92.129,92.164,92.161,92.164,92.156,32
2014-11-26 00:48:00,2014-11-26 00:49:00,92.134,92.106,92.14,92.106,92.161,92.131,92.165,92.129,64
2014-11-26 00:49:00,2014-11-26 00:50:00,92.106,92.111,92.114,92.106,92.131,92.134,92.138,92.129,35
2014-11-26 00:50:00,2014-11-26 00:51:00,92.111,92.116,92.116,92.094,92.134,92.141,92.141,92.12,75
2014-11-26 00:51:00,2014-11-26 00:52:00,92.116,92.113,92.12,92.104,92.141,92.135,92.142,92.128,74
2014-11-26 00:52:00,2014-11-26 00:53:00,92.113,92.107,92.113,92.092,92.135,92.13,92.137,92.116,73
2014-11-26 00:53:00,2014-11-26 00:54:00,92.107,92.11,92.113,92.1,92.13,92.136,92.136,92.126,55
2014-11-26 00:54:00,2014-11-26 00:55:00,92.11,92.135,92.14,92.108,92.136,92.154,92.163,92.132,82
2014-11-26 00:55:00,2014-11-26 00:56:00,92.135,92.14,92.157,92.135,92.154,92.166,92.185,92.157,161
2014-11-26 00:56:00,2014-11-26 00:57:00,92.14,92.153,92.153,92.139,92.166,92.179,92.179,92.162,45
2014-11-26 00:57:00,2014-11-26 00:58:00,92.153,92.151,92.163,92.148,92.179,92.177,92.185,92.173,58
2014-11-26 00:58:00,2014-11-26 00:59:00,92.151,92.144,92.151,92.142,92.177,92.166,92.176,92.166,20
2014-11-26 00:59:00,2014-11-26 01:00:00,92.144,92.139,92.151,92.125,92.166,92.163,92.177,92.146,100
2014-11-26 01:00:00,2014-11-26 01:01:00,92.139,92.127,92.14,92.126,92.163,92.15,92.164,92.15,58
2014-11-26 01:01:00,2014-11-26 01:02:00,92.127,92.119,92.124,92.116,92.15,92.142,92.15,92.139,30
2014-11-26 01:02:00,2014-11-26 01:03:00,92.119,92.103,92.119,92.103,92.142,92.127,92.141,92.127,31
2014-11-26 01:03:00,2014-11-26 01:04:00,92.103,92.114,92.116,92.101,92.127,92.139,92.14,92.125,74
2014-11-26 01:04:00,2014-11-26 01:05:00,92.114,92.101,92.119,92.101,92.139,92.125,92.142,92.125,58
2014-11-26 01:05:00,2014-11-26 01:06:00,92.101,92.074,92.099,92.065,92.125,92.1,92.125,92.094,111
2014-11-26 01:06:00,2014-11-26 01:07:00,92.074,92.061,92.076,92.059,92.1,92.087,92.099,92.085,83
2014-11-26 01:07:00,2014-11-26 01:08:00,92.061,92.056,92.07,92.049,92.087,92.078,92.096,92.069,119
2014-11-26 01:08:00,2014-11-26 01:09:00,92.056,92.024,92.056,92.024,92.078,92.051,92.082,92.048,166
2014-11-26 01:09:00,2014-11-26 01:10:00,92.024,92.014,92.032,92.013,92.051,92.041,92.058,92.035,145
2014-11-26 01:10:00,2014-11-26 01:11:00,92.014,92.025,92.031,92.009,92.041,92.049,92.056,92.032,216
2014-11-26 01:11:00,2014-11-26 01:12:00,92.025,92.016,92.033,92.012,92.049,92.041,92.055,92.037,102
2014-11-26 01:12:00,2014-11-26 01:13:00,92.016,91.977,92.023,91.977,92.041,92.004,92.043,92.004,288
2014-11-26 01:13:00,2014-11-26 01:14:00,91.977,91.997,92.0,91.966,92.004,92.021,92.026,91.993,173
2014-11-26 01:14:00,2014-11-26 01:15:00,91.997,92.027,92.027,91.999,92.021,92.049,92.049,92.021,158
2014-11-26 01:15:00,2014-11-26 01:16:00,92.027,92.025,92.038,92.012,92.049,92.046,92.059,92.037,109
2014-11-26 01:16:00,2014-11-26 01:17:00,92.025,91.995,92.03,91.995,92.046,92.018,92.05,92.015,135
2014-11-26 01:17:00,2014-11-26 01:18:00,91.995,91.992,92.005,91.987,92.018,92.015,92.024,92.012,130
2014-11-26 01:18:00,2014-11-26 01:19:00,91.992,92.013,92.013,91.991,92.015,92.034,92.036,92.015,107
2014-11-26 01:19:00,2014-11-26 01:20:00,92.013,92.023,92.027,91.995,92.034,92.049,92.049,92.021,118
2014-11-26 01:20:00,2014-11-26 01:21:00,92.023,92.053,92.053,92.02,92.049,92.08,92.08,92.045,110
2014-11-26 01:21:00,2014-11-26 01:22:00,92.053,92.069,92.077,92.051,92.08,92.093,92.103,92.077,147
2014-11-26 01:22:00,2014-11-26 01:23:00,92.069,92.083,92.085,92.061,92.093,92.104,92.109,92.082,107
2014-11-26 01:23:00,2014-11-26 01:24:00,92.083,92.076,92.083,92.067,92.104,92.099,92.105,92.091,110
2014-11-26 01:24:00,2014-11-26 01:25:00,92.076,92.074,92.076,92.062,92.099,92.096,92.101,92.088,120
2014-11-26 01:25:00,2014-11-26 01:26:00,92.074,92.081,92.084,92.074,92.096,92.104,92.105,92.094,32
2014-11-26 01:26:00,2014-11-26 01:27:00,92.081,92.089,92.092,92.081,92.104,92.11,92.117,92.103,86
2014-11-26 01:27:00,2014-11-26 01:28:00,92.089,92.07,92.09,92.067,92.11,92.093,92.113,92.093,79
2014-11-26 01:28:00,2014-11-26 01:29:00,92.07,92.086,92.086,92.07,92.093,92.105,92.108,92.095,39
