open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2014-08-28 06:00:00,2014-08-28 10:00:00,6803,6818,6826,6796,6804,6819,6827,6797,1957
2014-08-28 10:00:00,2014-08-28 14:00:00,6799,6811,6815,6796,6800,6812,6816,6797,2079
2014-08-28 14:00:00,2014-08-28 18:00:00,6804,6812,6815,6799,6805,6814,6817,6800,838
2014-08-28 18:00:00,2014-08-28 20:00:00,6805,6805,6807,6801,6807,6807,6809,6803,53
2014-08-28 20:00:00,2014-08-29 11:00:00,6815,6818,6823,6809,6816,6819,6824,6810,1335
2014-08-29 11:00:00,2014-08-29 15:00:00,6788,6823,6824,6780,6789,6825,6826,6781,2303
2014-08-29 15:00:00,2014-08-29 19:00:00,6815,6821,6826,6811,6817,6823,6828,6813,578
2014-08-29 19:00:00,2014-08-29 20:00:00,6816,6816,6816,6816,6818,6818,6818,6818,3
2014-08-29 20:00:00,2014-09-01 11:00:00,6801,6813,6820,6796,6802,6814,6821,6797,1104
2014-09-01 11:00:00,2014-09-01 15:00:00,6813,6821,6825,6811,6814,6823,6827,6812,775
2014-09-01 15:00:00,2014-09-01 19:00:00,6819,6823,6826,6819,6821,6825,6828,6821,76
2014-09-01 19:00:00,2014-09-01 20:00:00,6823,6823,6823,6823,6825,6825,6825,6825,2
2014-09-01 20:00:00,2014-09-02 11:00:00,6832,6844,6849,6814,6833,6845,6850,6815,1267
2014-09-02 11:00:00,2014-09-02 15:00:00,6815,6830,6833,6812,6816,6831,6834,6813,1957
2014-09-02 15:00:00,2014-09-02 19:00:00,6811,6829,6831,6808,6813,6831,6833,6810,825
2014-09-02 19:00:00,2014-09-02 21:00:00,6829,6829,6829,6829,6831,6831,6831,6831,3
2014-09-02 21:00:00,2014-09-03 11:00:00,6875,6883,6898,6872,6876,6884,6899,6873,2632
2014-09-03 11:00:00,2014-09-03 15:00:00,6879,6889,6893,6863,6880,6890,6894,6865,1923
2014-09-03 15:00:00,2014-09-03 19:00:00,6863,6877,6879,6861,6865,6879,6881,6863,653
2014-09-03 19:00:00,2014-09-03 21:00:00,6876,6876,6876,6876,6878,6878,6878,6878,3
2014-09-03 21:00:00,2014-09-04 11:00:00,6872,6890,6904,6871,6873,6891,6905,6872,2299
2014-09-04 11:00:00,2014-09-04 15:00:00,6883,6891,6905,6871,6884,6892,6906,6873,3591
2014-09-04 15:00:00,2014-09-04 19:00:00,6866,6880,6887,6855,6868,6882,6889,6857,980
2014-09-04 19:00:00,2014-09-04 21:00:00,6873,6873,6873,6873,6875,6875,6875,6875,1
2014-09-04 21:00:00,2014-09-05 11:00:00,6833,6857,6869,6826,6834,6858,6870,6827,1583
2014-09-05 11:00:00,2014-09-05 15:00:00,6835,6858,6861,6832,6836,6860,6863,6833,3736
2014-09-05 15:00:00,2014-09-05 19:00:00,6858,6871,6874,6855,6860,6873,6876,6857,958
2014-09-05 19:00:00,2014-09-05 20:00:00,6871,6871,6871,6871,6873,6873,6873,6873,3
