open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2011-03-28 06:59:00,2011-03-28 07:00:00,5891,5911,5913,5891,5894,5913,5915,5894,50
2011-03-28 07:00:00,2011-03-28 07:01:00,5911,5908,5913,5907,5913,5910,5915,5909,35
2011-03-28 07:01:00,2011-03-28 07:02:00,5908,5907,5909,5906,5910,5909,5911,5908,18
2011-03-28 07:02:00,2011-03-28 07:05:00,5908,5910,5912,5908,5910,5912,5914,5910,24
2011-03-28 07:05:00,2011-03-28 07:06:00,5910,5907,5911,5907,5912,5909,5913,5909,17
2011-03-28 07:06:00,2011-03-28 07:07:00,5907,5910,5910,5907,5909,5912,5912,5909,23
2011-03-28 07:07:00,2011-03-28 07:08:00,5910,5910,5912,5908,5912,5912,5914,5910,28
2011-03-28 07:08:00,2011-03-28 07:09:00,5910,5907,5910,5906,5912,5909,5912,5908,19
2011-03-28 07:09:00,2011-03-28 07:10:00,5907,5906,5908,5905,5909,5908,5910,5907,13
2011-03-28 07:10:00,2011-03-28 07:11:00,5906,5901,5906,5900,5908,5903,5908,5902,33
2011-03-28 07:11:00,2011-03-28 07:12:00,5901,5899,5902,5899,5903,5901,5904,5901,18
2011-03-28 07:12:00,2011-03-28 07:13:00,5899,5903,5903,5899,5901,5905,5905,5901,20
2011-03-28 07:13:00,2011-03-28 07:14:00,5903,5905,5905,5901,5905,5907,5907,5903,10
2011-03-28 07:14:00,2011-03-28 07:15:00,5905,5902,5906,5900,5907,5904,5908,5902,24
2011-03-28 07:15:00,2011-03-28 07:17:00,5901,5907,5908,5900,5903,5909,5910,5902,26
2011-03-28 07:17:00,2011-03-28 07:18:00,5907,5906,5909,5905,5909,5908,5911,5907,21
2011-03-28 07:18:00,2011-03-28 07:20:00,5908,5908,5909,5905,5910,5910,5911,5907,20
2011-03-28 07:20:00,2011-03-28 07:21:00,5908,5907,5909,5906,5910,5909,5911,5908,13
2011-03-28 07:21:00,2011-03-28 07:23:00,5907,5904,5907,5904,5909,5906,5909,5906,13
2011-03-28 07:23:00,2011-03-28 07:24:00,5904,5909,5909,5904,5906,5911,5911,5906,11
2011-03-28 07:24:00,2011-03-28 07:25:00,5909,5904,5909,5903,5911,5906,5911,5905,23
