open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2017-01-04 00:00:00,2017-01-04 04:00:00,55.53,55.86,55.87,55.685,55.62,55.91,55.92,55.735,785
2017-01-04 04:00:00,2017-01-04 08:00:00,55.67,55.945,56.13,55.51,55.72,55.995,56.215,55.56,3973
2017-01-04 08:00:00,2017-01-04 12:00:00,55.52,55.865,55.98,55.415,55.57,55.915,56.03,55.465,6218
2017-01-04 12:00:00,2017-01-04 16:00:00,55.395,56.235,56.345,55.31,55.445,56.285,56.395,55.36,12922
2017-01-04 16:00:00,2017-01-04 20:00:00,56.235,56.395,56.51,56.05,56.285,56.445,56.56,56.1,6457
2017-01-04 20:00:00,2017-01-05 03:00:00,56.22,56.45,56.51,56.16,56.27,56.5,56.56,56.21,1727
2017-01-05 03:00:00,2017-01-05 07:00:00,56.25,56.31,56.465,56.23,56.3,56.36,56.515,56.28,1243
2017-01-05 07:00:00,2017-01-05 11:00:00,56.27,56.98,57.02,56.13,56.32,57.03,57.07,56.18,5909
2017-01-05 11:00:00,2017-01-05 15:00:00,56.91,57.07,57.32,56.735,56.96,57.12,57.37,56.785,8626
2017-01-05 15:00:00,2017-01-05 19:00:00,56.32,56.815,56.975,55.99,56.37,56.865,57.03,56.04,13310
2017-01-05 19:00:00,2017-01-06 02:00:00,56.78,56.88,56.935,56.71,56.83,56.94,56.985,56.765,1216
2017-01-06 02:00:00,2017-01-06 06:00:00,56.755,56.85,56.935,56.66,56.805,56.9,56.985,56.71,766
2017-01-06 06:00:00,2017-01-06 10:00:00,56.67,57.42,57.425,56.525,56.72,57.47,57.475,56.575,4649
2017-01-06 10:00:00,2017-01-06 14:00:00,57.185,57.29,57.445,56.56,57.235,57.34,57.495,56.61,8288
2017-01-06 14:00:00,2017-01-06 18:00:00,56.65,57.215,57.26,56.265,56.7,57.265,57.31,56.315,8192
2017-01-06 18:00:00,2017-01-06 21:00:00,56.76,56.89,57.125,56.74,56.81,56.94,57.18,56.8,2453
2017-01-06 21:00:00,2017-01-09 05:00:00,56.865,56.945,56.98,56.78,56.915,56.995,57.03,56.845,573
2017-01-09 05:00:00,2017-01-09 09:00:00,56.69,56.85,56.89,56.07,56.74,56.9,56.94,56.12,3690
2017-01-09 09:00:00,2017-01-09 13:00:00,55.95,56.2,56.28,55.82,56.0,56.25,56.33,55.87,4562
2017-01-09 13:00:00,2017-01-09 17:00:00,55.3,55.7,55.965,55.235,55.35,55.75,56.015,55.285,9457
2017-01-09 17:00:00,2017-01-09 21:00:00,54.83,55.365,55.495,54.715,54.88,55.415,55.55,54.765,4255
2017-01-09 21:00:00,2017-01-10 04:00:00,54.73,55.105,55.15,54.8,54.78,55.155,55.2,54.85,1168
2017-01-10 04:00:00,2017-01-10 08:00:00,54.9,55.07,55.33,54.81,54.95,55.12,55.38,54.87,2931
2017-01-10 08:00:00,2017-01-10 12:00:00,55.05,55.285,55.31,54.91,55.1,55.335,55.36,54.96,3666
2017-01-10 12:00:00,2017-01-10 16:00:00,54.025,55.005,55.24,53.93,54.075,55.055,55.29,53.98,11656
2017-01-10 16:00:00,2017-01-10 20:00:00,53.65,54.23,54.36,53.575,53.7,54.28,54.41,53.625,5880
2017-01-10 20:00:00,2017-01-11 03:00:00,53.605,53.745,53.795,53.56,53.655,53.795,53.845,53.61,1178
2017-01-11 03:00:00,2017-01-11 07:00:00,53.705,53.875,53.88,53.66,53.755,53.925,53.93,53.72,1017
2017-01-11 07:00:00,2017-01-11 11:00:00,53.8,54.105,54.24,53.69,53.9,54.155,54.29,53.755,4640
2017-01-11 11:00:00,2017-01-11 15:00:00,53.87,54.67,54.86,53.7,53.92,54.72,54.91,53.75,12858
2017-01-11 15:00:00,2017-01-11 19:00:00,54.67,55.505,55.64,54.675,54.72,55.555,55.7,54.725,15774
2017-01-11 19:00:00,2017-01-12 02:00:00,55.045,55.23,55.45,54.99,55.095,55.28,55.5,55.04,1421
2017-01-12 02:00:00,2017-01-12 06:00:00,55.05,55.275,55.285,55.03,55.1,55.325,55.335,55.08,738
2017-01-12 06:00:00,2017-01-12 10:00:00,55.275,55.66,55.71,55.1,55.325,55.71,55.76,55.15,5010
2017-01-12 10:00:00,2017-01-12 14:00:00,55.66,56.045,56.405,55.54,55.71,56.095,56.46,55.59,8988
2017-01-12 14:00:00,2017-01-12 18:00:00,55.99,56.17,56.255,55.7,56.04,56.22,56.31,55.75,13258
2017-01-12 18:00:00,2017-01-12 21:00:00,56.045,56.08,56.125,55.785,56.095,56.13,56.175,55.835,3912
