open time,close time,open bid,close bid,high bid,low bid,open ask,close ask,high ask,low ask,volume
2015-02-03 23:00:00,2015-02-04 03:00:00,17640,17659,17667,17635,17644,17663,17671,17639,1328
2015-02-04 03:00:00,2015-02-04 07:00:00,17645,17656,17665,17627,17649,17660,17669,17631,1061
2015-02-04 07:00:00,2015-02-04 11:00:00,17597,17642,17659,17580,17601,17646,17663,17584,8262
2015-02-04 11:00:00,2015-02-04 15:00:00,17611,17691,17714,17586,17615,17695,17718,17590,20263
2015-02-04 15:00:00,2015-02-04 19:00:00,17691,17728,17742,17667,17695,17732,17746,17671,21079
2015-02-04 19:00:00,2015-02-04 23:00:00,17586,17674,17781,17571,17590,17678,17785,17575,12475
2015-02-04 23:00:00,2015-02-05 03:00:00,17573,17611,17614,17561,17577,17615,17618,17565,1621
2015-02-05 03:00:00,2015-02-05 07:00:00,17585,17658,17671,17577,17589,17662,17675,17581,1694
2015-02-05 07:00:00,2015-02-05 11:00:00,17658,17716,17735,17620,17662,17720,17739,17624,9802
2015-02-05 11:00:00,2015-02-05 15:00:00,17711,17826,17837,17711,17715,17830,17841,17715,18659
2015-02-05 15:00:00,2015-02-05 19:00:00,17813,17845,17862,17799,17817,17849,17866,17803,15996
2015-02-05 19:00:00,2015-02-05 23:00:00,17845,17879,17889,17829,17849,17883,17893,17833,4957
2015-02-05 23:00:00,2015-02-06 03:00:00,17840,17842,17847,17822,17844,17846,17851,17826,962
2015-02-06 03:00:00,2015-02-06 07:00:00,17828,17862,17870,17825,17832,17866,17874,17829,1037
2015-02-06 07:00:00,2015-02-06 11:00:00,17849,17864,17875,17845,17853,17868,17879,17849,4414
2015-02-06 11:00:00,2015-02-06 15:00:00,17854,17929,17952,17844,17858,17933,17956,17850,19960
2015-02-06 15:00:00,2015-02-06 19:00:00,17863,17924,17940,17822,17867,17928,17944,17826,23382
2015-02-06 19:00:00,2015-02-06 22:00:00,17823,17841,17851,17764,17827,17845,17855,17768,9880
2015-02-06 22:00:00,2015-02-09 03:00:00,17759,17782,17803,17740,17763,17786,17807,17744,1466
2015-02-09 03:00:00,2015-02-09 07:00:00,17768,17796,17797,17766,17772,17800,17801,17770,889
2015-02-09 07:00:00,2015-02-09 11:00:00,17741,17761,17801,17728,17745,17765,17805,17732,8129
2015-02-09 11:00:00,2015-02-09 15:00:00,17733,17783,17805,17713,17737,17787,17809,17717,19433
2015-02-09 15:00:00,2015-02-09 19:00:00,17734,17776,17805,17710,17738,17780,17809,17714,16247
2015-02-09 19:00:00,2015-02-09 23:00:00,17713,17757,17765,17680,17717,17761,17769,17684,7338
2015-02-09 23:00:00,2015-02-10 03:00:00,17751,17758,17765,17746,17755,17762,17769,17750,1073
2015-02-10 03:00:00,2015-02-10 07:00:00,17750,17759,17782,17746,17754,17763,17786,17750,967
2015-02-10 07:00:00,2015-02-10 11:00:00,17736,17766,17777,17715,17740,17770,17781,17719,7032
2015-02-10 11:00:00,2015-02-10 15:00:00,17766,17839,17870,17725,17770,17843,17874,17729,18395
2015-02-10 15:00:00,2015-02-10 19:00:00,17757,17871,17873,17745,17761,17875,17877,17749,16264
2015-02-10 19:00:00,2015-02-10 23:00:00,17836,17862,17887,17829,17840,17866,17891,17833,4661
2015-02-10 23:00:00,2015-02-11 03:00:00,17820,17836,17839,17815,17824,17840,17843,17819,731
2015-02-11 03:00:00,2015-02-11 07:00:00,17816,17821,17825,17806,17820,17825,17829,17810,805
2015-02-11 07:00:00,2015-02-11 11:00:00,17806,17817,17832,17784,17810,17821,17836,17788,5070
2015-02-11 11:00:00,2015-02-11 15:00:00,17788,17824,17834,17777,17792,17828,17838,17781,12388
2015-02-11 15:00:00,2015-02-11 19:00:00,17801,17830,17850,17754,17805,17834,17854,17758,18323
2015-02-11 19:00:00,2015-02-11 23:00:00,17827,17936,17980,17818,17831,17940,17984,17822,10097
2015-02-11 23:00:00,2015-02-12 03:00:00,17818,17868,17886,17806,17822,17872,17890,17810,2527
2015-02-12 03:00:00,2015-02-12 07:00:00,17836,17865,17880,17834,17840,17869,17884,17838,1581
2015-02-12 07:00:00,2015-02-12 11:00:00,17856,17952,17963,17845,17860,17956,17967,17849,9619
2015-02-12 11:00:00,2015-02-12 15:00:00,17906,17944,17955,17883,17910,17948,17959,17887,15246
2015-02-12 15:00:00,2015-02-12 19:00:00,17910,17960,17970,17884,17914,17964,17974,17888,15106
2015-02-12 19:00:00,2015-02-12 23:00:00,17951,17964,17975,17942,17955,17968,17979,17946,3926
2015-02-12 23:00:00,2015-02-13 00:00:00,17947,17950,17952,17945,17951,17954,17956,17949,212
